UnityMillis	ArduinoMillis	EDA	IBI	Distance
1965	351574	7	7	5
1981	351584	148	146	145
1981	351594	80	79	78
1998	351604	23	22	22
1998	351614	16	15	14
2014	351624	0	0	0
2031	351634	6	6	6
2031	351644	0	0	0
2047	351654	5	5	6
2047	351664	0	0	0
2065	351674	6	7	6
2081	351684	0	0	0
2081	351694	6	6	6
2097	351704	0	0	0
2114	351714	6	6	6
2114	351724	0	0	0
2131	351734	8	7	8
2131	351744	0	0	0
2147	351754	7	6	6
2163	351764	0	0	0
2163	351774	5	5	5
2180	351784	0	0	0
2180	351794	7	6	6
2197	351804	0	0	0
2213	351814	6	6	6
2213	351824	0	0	0
2230	351834	7	7	7
2230	351844	0	0	0
2246	351854	6	6	6
2263	351864	0	0	0
2263	351874	6	6	6
2279	351884	0	0	0
2297	351894	6	6	6
2297	351904	0	0	0
2313	351915	6	5	5
2313	351925	0	0	0
2329	351935	5	5	5
2329	351945	0	0	0
2346	351955	4	3	3
2362	351965	0	0	0
2362	351975	5	4	4
2379	351985	0	0	0
2379	351995	4	4	3
2395	352005	0	0	0
2412	352015	4	4	4
2412	352025	0	0	0
2429	352035	3	3	2
2429	352045	0	0	0
2445	352055	5	5	4
2462	352065	0	0	0
2462	352075	4	4	3
2478	352086	0	0	0
2495	352096	2	1	1
2495	352106	0	0	0
2512	352116	0	0	0
2512	352126	0	0	0
2528	352136	3	2	2
2544	352146	0	0	0
2545	352156	1	0	0
2561	352166	0	0	0
2561	352176	4	4	3
2578	352186	0	0	0
2594	352196	0	0	0
2594	352206	0	0	0
2611	352216	2	2	1
2627	352226	0	0	0
2627	352236	0	0	0
2644	352246	0	0	0
2644	352256	3	2	2
2660	352266	0	0	0
2677	352276	0	0	0
2677	352286	0	0	0
2694	352296	0	0	0
2694	352306	0	0	0
2710	352316	1	0	0
2727	352326	0	0	0
2727	352336	0	0	0
2743	352346	0	0	0
2743	352356	0	0	0
2760	352366	0	0	0
2760	352376	0	0	0
2777	352386	0	0	0
2793	352396	0	0	0
2793	352406	0	0	0
2810	352416	0	0	0
2826	352427	0	0	0
2826	352437	0	0	0
2843	352447	0	0	0
2843	352457	0	0	0
2859	352467	0	0	0
2876	352477	0	0	0
2876	352487	0	0	0
2892	352497	0	0	0
2892	352507	0	0	0
2909	352517	0	0	0
2926	352527	0	0	0
2926	352537	0	0	0
2942	352547	0	0	0
2942	352557	0	0	0
2959	352567	0	0	0
2975	352577	0	0	0
2975	352587	0	0	0
2992	352598	0	0	0
3008	352608	0	0	0
3008	352618	0	0	0
3025	352628	1	1	1
3025	352638	0	0	0
3042	352648	0	0	0
3058	352658	0	0	0
3058	352668	0	0	0
3075	352678	0	0	0
3075	352688	0	0	0
3091	352698	0	0	0
3091	352708	0	0	0
3108	352718	0	0	0
3124	352728	0	0	0
3124	352738	0	0	0
3141	352748	0	0	0
3157	352758	0	0	0
3158	352768	0	0	0
3174	352778	0	0	0
3174	352788	1	1	1
3191	352798	0	0	0
3207	352808	1	0	1
3207	352818	0	0	0
3224	352828	0	0	0
3224	352838	0	0	0
3240	352848	0	0	0
3257	352858	0	0	0
3257	352868	0	0	0
3273	352878	0	0	0
3273	352888	0	0	0
3290	352898	0	0	0
3307	352908	0	0	0
3307	352918	0	0	0
3323	352928	0	0	0
3340	352939	0	0	0
3340	352949	1	2	2
3356	352959	0	0	0
3356	352969	3	3	4
3373	352979	0	0	0
3389	352989	0	1	0
3389	352999	0	0	0
3406	353009	4	5	4
3406	353019	0	0	0
3423	353029	1	1	1
3439	353039	0	0	0
3439	353049	2	2	3
3456	353059	0	0	0
3456	353069	1	1	1
3473	353079	0	0	0
3473	353089	2	2	3
3489	353099	0	0	0
3505	353110	5	5	6
3505	353120	0	0	0
3522	353130	4	4	4
3538	353140	0	0	0
3539	353150	6	6	6
3555	353160	0	0	0
3555	353170	5	5	5
3572	353180	0	0	0
3588	353190	6	6	5
3588	353200	0	0	0
3605	353210	4	5	6
3621	353220	0	0	0
3621	353230	4	4	5
3638	353240	0	0	0
3638	353250	4	4	4
3655	353260	0	0	0
3671	353270	5	6	5
3671	353280	0	0	0
3688	353290	4	4	3
3688	353300	0	0	0
3704	353310	4	5	6
3721	353320	0	0	0
3721	353330	4	4	4
3738	353340	0	0	0
3738	353350	5	5	5
3754	353360	0	0	0
3770	353370	5	5	5
3770	353380	0	0	0
3787	353390	5	5	5
3788	353400	0	0	0
3804	353410	4	4	5
3820	353420	0	0	0
3820	353430	5	5	6
3837	353440	0	0	0
3837	353451	6	6	6
3853	353461	0	0	0
3870	353471	6	7	7
3870	353481	0	0	0
3886	353491	6	6	7
3886	353501	0	0	0
3903	353511	6	6	7
3920	353521	0	0	0
3920	353531	7	6	6
3936	353541	0	0	0
3936	353551	6	6	6
3953	353561	0	0	0
3969	353571	6	6	6
3969	353581	0	0	0
3986	353591	7	7	7
4002	353601	0	0	0
4002	353611	6	6	6
4019	353622	0	0	0
4019	353632	6	6	6
4036	353642	0	0	0
4052	353652	6	5	5
4052	353662	0	0	0
4069	353672	7	7	7
4069	353682	0	0	0
4085	353692	6	6	6
4102	353702	0	0	0
4102	353712	6	5	6
4118	353722	0	0	0
4135	353732	6	6	6
4135	353742	0	0	0
4151	353752	6	6	6
4151	353762	0	0	0
4168	353772	6	6	6
4185	353782	0	0	0
4185	353792	7	6	6
4201	353802	0	0	0
4201	353812	6	6	6
4218	353822	0	0	0
4218	353832	6	6	6
4235	353842	0	0	0
4251	353852	5	5	5
4251	353862	0	0	0
4267	353872	6	6	6
4267	353882	0	0	0
4284	353892	5	5	5
4301	353902	0	0	0
4301	353912	4	5	5
4317	353922	0	0	0
4317	353932	6	6	5
4334	353942	0	0	0
4350	353952	5	4	4
4350	353963	0	0	0
4367	353973	6	6	6
4383	353983	0	0	0
4383	353993	4	4	3
4400	354003	0	0	0
4400	354013	5	5	5
4417	354023	0	0	0
4433	354033	4	4	4
4433	354043	0	0	0
4450	354053	6	6	6
4450	354063	0	0	0
4466	354073	5	5	4
4483	354083	0	0	0
4483	354093	5	6	5
4499	354103	0	0	0
4516	354113	5	5	5
4516	354123	0	0	0
4532	354134	4	4	4
4532	354144	0	0	0
4549	354154	2	1	1
4566	354164	0	0	0
4566	354174	0	0	0
4582	354184	0	0	0
4582	354194	1	0	0
4599	354204	0	0	0
4599	354214	0	0	0
4615	354224	0	0	0
4632	354234	3	3	2
4632	354244	0	0	0
4648	354254	1	0	0
4648	354264	0	0	0
4665	354274	1	1	0
4682	354284	0	0	0
4682	354294	0	0	0
4698	354304	0	0	0
4715	354314	2	1	1
4715	354324	0	0	0
4731	354334	0	0	0
4731	354344	0	0	0
4748	354354	3	2	2
4764	354364	0	0	0
4764	354374	1	0	0
4781	354384	0	0	0
4781	354394	4	4	3
4798	354404	0	0	0
4815	354414	0	0	0
4815	354424	0	0	0
4831	354434	3	2	1
4831	354444	0	0	0
4847	354454	0	0	0
4864	354464	0	0	0
4864	354475	0	0	0
4881	354485	0	0	0
4897	354495	0	0	0
4897	354505	0	0	0
4914	354515	0	0	0
4914	354525	0	0	0
4930	354535	0	0	0
4947	354545	0	0	0
4947	354555	0	0	0
4963	354565	0	0	0
4963	354575	0	0	0
4980	354585	0	0	0
4980	354595	0	0	0
4996	354605	0	0	0
5013	354615	0	0	0
5013	354625	0	0	0
5030	354635	0	0	0
5046	354646	0	0	0
5046	354656	0	0	0
5063	354666	0	0	0
5063	354676	0	0	0
5079	354686	1	1	1
5096	354696	0	0	0
5096	354706	0	0	0
5112	354716	0	0	0
5112	354726	0	0	0
5129	354736	0	0	0
5145	354746	0	0	0
5145	354756	0	0	0
5162	354766	0	0	0
5162	354776	0	0	0
5179	354786	0	0	0
5195	354796	0	0	0
5195	354806	0	0	0
5212	354816	0	0	0
5228	354826	0	0	0
5228	354836	0	0	0
5245	354846	0	0	0
5245	354856	0	0	0
5261	354866	0	0	0
5278	354876	0	0	0
5278	354886	0	0	0
5295	354896	0	0	0
5295	354906	0	0	0
5311	354916	0	0	0
5311	354926	0	0	0
5328	354936	0	0	0
5344	354946	0	0	0
5344	354956	0	0	0
5361	354966	0	0	0
5361	354976	0	0	0
5377	354987	1	1	1
5394	354997	0	0	0
5394	355007	2	2	3
5411	355017	0	0	0
5427	355027	2	2	3
5427	355037	0	0	0
5444	355047	1	1	1
5444	355057	0	0	0
5460	355067	2	2	3
5477	355077	0	0	0
5477	355087	0	0	0
5493	355097	0	0	0
5493	355107	1	2	2
5510	355117	0	0	0
5526	355127	0	0	1
5527	355137	0	0	0
5543	355147	1	2	3
5560	355158	0	0	0
5560	355168	3	3	4
5576	355178	0	0	0
5576	355188	4	4	4
5593	355198	0	0	0
5609	355208	1	2	3
5609	355218	0	0	0
5626	355228	5	6	6
5626	355238	0	0	0
5643	355248	2	2	2
5659	355258	0	0	0
5659	355268	3	4	4
5676	355278	0	0	0
5676	355288	4	4	4
5692	355298	0	0	0
5692	355308	4	4	5
5709	355318	0	0	0
5725	355328	3	4	4
5725	355338	0	0	0
5742	355348	4	4	4
5758	355358	0	0	0
5758	355368	6	6	5
5775	355378	0	0	0
5775	355388	4	4	5
5792	355398	0	0	0
5808	355408	5	5	5
5808	355418	0	0	0
5825	355428	4	5	5
5825	355438	0	0	0
5842	355448	5	5	5
5858	355458	0	0	0
5858	355468	4	3	4
5874	355478	0	0	0
5891	355488	5	5	5
5891	355499	0	0	0
5908	355509	5	6	6
5908	355519	0	0	0
5924	355529	6	7	7
5941	355539	0	0	0
5941	355549	4	5	5
5957	355559	0	0	0
5957	355569	6	6	6
5974	355579	0	0	0
5991	355589	5	6	6
5991	355599	0	0	0
6007	355609	5	5	4
6023	355619	0	0	0
6024	355629	5	5	6
6040	355639	0	0	0
6040	355649	6	6	5
6057	355659	0	0	0
6057	355670	6	6	6
6073	355680	0	0	0
6090	355690	6	6	5
6090	355700	0	0	0
6106	355710	7	6	6
6106	355720	0	0	0
6123	355730	5	5	5
6139	355740	0	0	0
6140	355750	6	5	5
6156	355760	0	0	0
6156	355770	6	6	7
6173	355780	0	0	0
6189	355790	5	5	4
6189	355800	0	0	0
6206	355810	7	7	7
6222	355820	0	0	0
6222	355830	5	5	5
6239	355840	0	0	0
6239	355850	6	6	6
6256	355860	0	0	0
6272	355870	5	6	5
6272	355880	0	0	0
6289	355890	6	6	6
6289	355900	0	0	0
6305	355910	6	6	6
6322	355920	0	0	0
6322	355930	6	5	6
6338	355940	0	0	0
6338	355950	6	5	5
6355	355960	0	0	0
6371	355970	6	6	6
6371	355980	0	0	0
6388	355990	6	7	7
6405	356000	0	0	0
6405	356011	6	5	6
6421	356021	0	0	0
6421	356031	5	5	5
6438	356041	0	0	0
6438	356051	4	5	5
6454	356061	0	0	0
6471	356071	5	4	5
6471	356081	0	0	0
6487	356091	4	4	4
6487	356101	0	0	0
6504	356111	5	5	5
6521	356121	0	0	0
6521	356131	4	4	5
6537	356141	0	0	0
6538	356151	6	5	6
6554	356161	0	0	0
