UnityMillis	ArduinoMillis	EDA	IBI	Distance
2116	23265	11	13	16
2116	23275	12	11	10
2116	23285	11	12	15
2116	23296	13	11	10
2116	23306	12	12	15
2156	23316	12	11	10
2156	23326	11	13	15
2156	23336	12	10	10
2156	23346	12	13	15
2173	23356	12	11	11
2189	23366	12	13	14
2189	23376	12	10	10
2205	23386	12	13	15
2205	23396	11	11	10
2222	23406	12	13	15
2239	23416	12	10	10
2239	23426	12	13	15
2255	23436	12	11	10
2272	23446	12	13	14
2272	23456	12	11	10
2288	23467	12	13	15
2288	23477	11	11	11
2305	23487	11	12	14
2321	23497	12	11	10
2321	23507	11	11	12
2338	23517	11	11	11
2338	23527	12	12	13
2354	23537	12	11	10
2371	23547	12	12	12
2371	23557	12	11	11
2388	23567	12	12	13
2404	23577	12	11	10
2404	23587	12	11	12
2421	23597	12	11	11
2421	23607	11	12	13
2437	23617	11	11	11
2454	23627	12	12	12
2454	23638	12	10	10
2470	23648	11	11	10
2470	23658	12	11	10
2487	23668	12	11	11
2504	23678	11	11	11
2504	23688	12	11	11
2520	23698	11	11	10
2520	23708	12	11	10
2537	23718	11	11	9
2537	23728	12	12	12
2553	23738	12	11	10
2570	23748	12	12	12
2570	23758	11	10	11
2586	23768	11	11	11
2603	23778	12	11	10
2603	23788	11	11	11
2620	23798	12	11	11
2620	23808	11	11	12
2636	23818	12	11	10
2653	23828	11	11	11
2653	23838	12	11	10
2669	23848	11	11	11
2669	23858	11	10	10
2686	23868	12	11	11
2703	23878	11	11	10
2703	23888	12	11	11
2719	23898	12	11	11
2719	23908	12	11	11
2736	23918	11	10	10
2752	23928	12	11	11
2752	23938	12	11	10
2769	23948	12	11	11
2785	23958	12	11	11
2785	23968	12	11	10
2802	23979	11	11	10
2802	23989	11	11	11
2818	23999	12	11	10
2836	24009	12	11	10
2836	24019	12	11	10
2851	24029	12	11	11
2851	24039	11	11	10
2868	24049	12	11	11
2885	24059	12	10	10
2885	24069	12	11	10
2901	24079	12	11	10
2901	24089	11	10	10
2918	24099	12	10	10
2918	24109	12	11	11
2934	24119	12	11	11
2951	24129	12	11	10
2951	24139	12	12	11
2967	24150	12	10	9
2984	24160	12	11	10
2984	24170	13	9	6
3001	24180	12	11	11
3001	24190	12	9	6
3017	24200	12	11	10
3034	24210	12	9	6
3034	24220	12	11	10
3050	24230	12	9	6
3050	24240	11	11	10
3067	24250	12	10	7
3083	24260	12	11	10
3083	24270	12	10	7
3100	24280	12	11	10
3117	24290	12	9	6
3117	24300	12	10	11
3133	24310	11	9	5
3133	24320	12	11	11
3150	24330	12	9	6
3166	24340	12	11	10
3166	24350	12	9	6
3183	24360	12	12	11
3183	24370	12	10	8
3200	24380	12	11	11
3216	24390	12	9	6
3216	24400	11	10	10
3232	24410	12	10	8
3232	24420	12	11	11
3249	24430	11	9	6
3266	24440	12	11	10
3266	24450	12	9	8
3283	24460	12	10	10
3283	24470	11	9	6
3299	24480	12	12	11
3315	24491	11	9	6
3315	24501	12	11	11
3332	24511	11	10	7
3332	24521	11	11	11
3348	24531	12	9	6
3365	24541	12	11	10
3365	24551	12	9	7
3382	24561	12	11	11
3382	24571	12	9	6
3398	24581	12	11	10
3415	24591	11	10	7
3415	24601	11	11	11
3431	24611	12	10	6
3431	24621	12	11	10
3448	24631	12	10	7
3464	24641	12	11	10
3464	24651	12	10	6
3481	24662	12	11	11
3498	24672	11	9	6
3498	24682	12	11	11
3514	24692	11	9	6
3531	24702	11	11	12
3531	24712	11	9	6
3547	24722	11	10	11
3547	24732	12	9	6
3564	24742	12	12	12
3564	24752	12	9	6
3581	24762	11	11	11
3597	24772	12	10	6
3597	24782	12	11	12
3613	24792	11	9	6
3630	24802	12	11	11
3630	24812	12	8	6
3647	24822	12	12	12
3647	24832	11	9	6
3663	24842	12	12	11
3663	24852	12	9	6
3680	24862	12	11	11
3696	24872	11	9	6
3696	24882	12	11	11
3713	24892	11	10	6
3713	24902	12	11	12
3729	24912	84	80	74
3747	24922	83	80	79
3747	24932	82	79	74
3763	24942	82	79	78
3779	24952	81	77	72
3779	24962	81	79	76
3796	24972	81	76	72
3796	24982	80	78	76
3812	24992	80	76	71
3829	25003	81	79	77
3829	25013	81	76	71
3846	25023	11	20	33
3846	25033	10	8	5
3862	25043	9	11	13
3879	25053	11	8	4
3879	25063	9	10	11
3895	25073	10	8	4
3912	25083	10	11	13
3912	25093	10	8	5
3928	25103	9	11	11
3928	25113	10	8	5
3945	25123	10	11	13
3962	25133	11	8	4
3962	25143	11	10	10
3978	25153	10	7	5
3978	25163	10	11	12
3995	25174	10	8	5
4012	25184	10	12	14
4012	25194	10	9	8
4029	25204	10	12	14
4029	25214	10	9	8
4045	25224	10	12	13
4045	25234	11	9	8
4061	25244	10	11	14
4077	25254	10	9	7
4077	25264	10	12	13
4094	25274	11	9	6
4111	25284	10	12	14
4111	25294	11	9	8
4127	25304	10	12	13
4127	25314	10	9	7
4144	25324	10	12	14
4160	25334	11	9	7
4160	25344	10	11	13
4177	25354	11	8	3
4177	25364	10	12	14
4193	25374	10	9	8
4211	25384	10	12	14
4211	25394	10	8	6
4227	25404	10	12	13
4227	25414	10	9	8
4243	25424	9	12	14
4260	25434	10	7	6
4260	25444	10	11	13
4276	25454	10	9	8
4293	25464	11	11	14
4293	25474	10	8	5
4309	25484	11	12	14
4309	25494	79	77	75
4326	25504	80	79	80
4342	25515	80	77	75
4342	25525	79	79	79
4359	25535	79	77	74
4359	25545	78	78	78
4376	25555	79	76	74
4376	25565	78	78	79
4392	25575	78	76	73
4409	25585	78	78	77
4409	25595	78	75	73
4426	25605	78	78	79
4426	25615	78	76	73
4443	25625	10	11	13
4458	25635	10	9	9
4458	25645	9	12	14
4475	25655	10	9	8
4491	25665	10	11	14
4492	25675	10	9	8
4508	25686	10	12	14
4508	25696	11	9	9
4525	25706	10	11	13
4541	25716	11	9	8
4541	25726	79	77	76
4558	25736	78	75	73
4558	25746	77	76	77
4575	25756	76	75	73
4591	25766	76	76	75
4591	25776	78	75	73
4608	25786	10	11	15
4624	25796	10	9	9
4624	25806	11	10	11
4641	25816	10	10	9
4641	25826	10	12	13
4657	25836	10	9	9
4674	25846	10	11	12
4674	25856	77	74	71
4690	25866	77	76	76
4690	25876	77	75	73
4707	25886	77	76	76
4723	25896	77	74	72
4723	25906	77	76	77
4740	25916	77	74	72
4740	25926	76	76	75
4757	25936	10	9	9
4757	25946	10	10	13
4773	25956	10	9	9
4790	25966	9	11	12
4790	25976	10	9	9
4806	25986	77	76	76
4806	25996	77	75	73
4823	26006	77	75	76
4840	26016	77	74	71
4840	26027	77	76	75
4856	26037	77	75	73
4873	26047	76	74	74
4873	26057	77	74	72
4890	26067	77	75	73
4890	26077	77	74	72
4906	26087	76	75	73
4922	26097	76	73	72
4922	26107	77	75	73
4939	26117	76	74	72
4939	26127	77	75	74
4955	26137	76	74	72
4972	26147	77	74	72
4972	26157	76	74	72
4989	26167	76	75	74
5005	26177	76	74	72
5005	26187	76	74	73
5022	26198	77	74	71
5022	26208	76	74	72
5038	26218	76	74	72
5055	26228	76	73	72
5055	26238	76	74	72
5072	26248	76	74	72
5072	26258	76	74	71
5088	26268	76	74	72
5105	26278	76	74	72
5105	26288	76	74	72
5121	26298	76	74	72
5121	26308	76	74	72
5138	26318	76	74	72
5138	26328	77	74	72
5154	26338	76	73	72
5171	26348	76	75	73
5171	26358	76	74	72
5187	26368	76	74	72
5204	26378	76	74	72
5204	26388	76	74	72
5221	26398	76	74	72
5221	26408	76	74	71
5237	26418	76	74	71
5254	26428	76	74	72
5254	26438	76	74	71
5271	26448	75	73	72
5271	26458	76	74	72
5287	26468	76	74	72
5304	26478	76	74	71
5304	26488	10	9	8
5320	26498	9	10	9
5320	26508	10	9	9
5337	26518	10	10	9
5353	26528	10	10	9
5353	26539	10	10	9
5370	26549	10	9	9
5386	26559	10	10	9
5386	26569	10	8	6
5403	26579	10	10	10
5403	26589	10	9	8
5420	26599	10	9	9
5436	26609	10	8	6
5436	26619	11	9	9
5452	26629	10	9	7
5469	26639	76	74	71
5469	26649	75	72	68
5469	26659	75	74	72
5486	26669	76	74	71
5502	26679	76	74	72
5502	26689	76	72	69
5519	26699	76	73	71
5535	26710	75	71	67
5535	26720	76	74	72
5552	26730	10	8	6
5552	26740	10	9	9
5568	26750	10	8	5
5585	26760	10	10	9
5585	26770	10	8	4
5602	26780	11	9	9
5602	26790	11	8	5
5618	26800	10	9	9
5635	26810	10	7	4
5635	26820	10	9	9
5651	26830	10	8	5
5668	26840	11	10	8
5668	26850	10	8	5
5685	26860	10	10	8
5685	26870	10	8	4
5701	26880	10	10	9
5718	26890	9	7	5
5718	26900	10	8	9
5734	26910	10	8	5
5734	26920	10	10	9
5751	26930	76	71	66
5767	26940	76	74	72
5767	26950	76	72	68
5784	26960	76	74	71
5784	26970	76	72	67
5801	26980	76	73	71
5801	26990	76	72	67
5817	27000	9	10	10
5834	27010	10	7	2
5834	27020	10	9	9
5850	27030	9	8	4
5867	27040	10	10	9
5867	27051	9	8	4
5883	27061	10	10	9
5883	27071	11	7	4
5900	27081	10	10	9
5917	27091	9	7	4
5917	27101	10	10	9
5933	27111	10	7	3
5934	27121	10	9	9
5949	27131	10	8	4
5966	27141	10	9	9
5966	27151	10	7	4
5983	27161	10	10	9
5999	27171	10	7	4
5999	27181	10	9	9
6016	27191	10	7	4
6016	27201	76	74	71
6032	27211	75	71	67
6049	27222	76	74	72
6049	27232	75	71	66
6065	27242	76	75	73
6065	27252	77	72	67
6082	27262	10	10	10
6098	27272	9	7	4
6099	27282	10	10	10
6115	27292	9	7	4
6132	27302	10	10	11
6132	27312	10	8	4
6148	27322	9	10	11
6148	27332	10	8	4
6165	27342	10	10	11
6181	27352	10	8	3
6181	27362	11	9	9
6198	27372	10	7	4
6198	27382	10	9	10
6214	27392	10	8	4
6215	27402	9	9	10
6231	27412	75	71	66
6248	27422	76	74	73
6248	27432	76	72	67
6264	27442	76	74	73
6264	27452	76	71	66
6281	27462	76	74	73
6297	27472	75	71	66
6297	27482	10	9	9
6314	27492	10	8	5
6314	27502	10	10	10
6330	27512	10	7	4
6347	27522	10	9	9
6347	27532	10	7	4
