UnityMillis	ArduinoMillis	EDA	IBI	Distance
6183	3348	261.63
6196	3359	261.63
6209	3372	261.63
6221	3383	261.63
6244	3395	261.63
6265	3406	261.63
6277	3419	261.63
6288	3430	261.63
6300	3442	261.63
6314	3453	261.63
6328	3465	261.63
6341	3477	261.63
6355	3488	261.63
6366	3501	261.63
6373	3512	261.63
6381	3524	261.63
6391	3535	261.63
6406	3547	261.63
6415	3559	261.63
6422	3570	261.63
6453	3582	261.63
6460	3594	261.63
6467	3606	261.63
6473	3617	261.63
6480	3630	261.63
6488	3641	261.63
6500	3652	261.63
6517	3664	261.63
6525	3676	261.63
6540	3688	261.63
6548	3699	261.63
6554	3712	261.63
6561	3723	261.63
6575	3735	261.63
6586	3746	261.63
6598	3758	261.63
6612	3770	261.63
6620	3781	261.63
6629	3793	261.63
6636	3805	261.63
6653	3817	261.63
6670	3828	261.63
6687	3841	261.63
6695	3852	261.63
6702	3863	261.63
6709	3875	261.63
6722	3887	261.63
6742	3899	261.63
6762	3910	261.63
6775	3922	261.63
6787	3934	261.63
6800	3945	261.63
6814	3957	261.63
6830	3969	261.63
6847	3981	261.63
6870	3992	261.63
6884	4004	261.63
6897	4016	261.63
6912	4028	261.63
6927	4039	261.63
6939	4050	261.63
6957	4063	261.63
6972	4074	261.63
6986	4086	261.63
7013	4098	261.63
7025	4110	261.63
7038	4121	261.63
7050	4133	261.63
7064	4145	261.63
7081	4156	261.63
7097	4168	261.63
7110	4179	261.63
7122	4192	261.63
7136	4203	261.63
7152	4215	261.63
7168	4227	261.63
7191	4238	261.63
7203	4250	261.63
7216	4261	261.63
7228	4274	261.63
7240	4285	261.63
7253	4297	261.63
7269	4308	261.63
7283	4321	261.63
7297	4332	261.63
7312	4343	261.63
7327	4356	261.63
7341	4367	261.63
7355	4379	261.63
7373	4390	261.63
7385	4403	261.63
7410	4414	261.63
7435	4426	261.63
7448	4438	261.63
7461	4449	261.63
7473	4461	261.63
7484	4472	261.63
7494	4485	261.63
7506	4496	261.63
7517	4508	261.63
7528	4519	261.63
7537	4531	261.63
7548	4543	261.63
7555	4554	261.63
7562	4567	261.63
7569	4578	261.63
7577	4590	261.63
7584	4601	261.63
7592	4613	261.63
7599	4625	261.63
7615	4636	261.63
7624	4648	261.63
7632	4660	261.63
7643	4672	261.63
7650	4683	261.63
7659	4696	261.63
7667	4707	261.63
7675	4718	261.63
7686	4730	261.63
7694	4742	261.63
7701	4754	261.63
7708	4765	261.63
7712	4777	261.63
7718	4789	261.63
7738	4801	261.63
7755	4812	261.63
7766	4824	261.63
7776	4836	261.63
