UnityMillis	ArduinoMillis	EDA	IBI	Distance
2426	5464	127	125	124
2839	5474	28	28	28
2840	5484	19	18	18
2841	5494	0	0	0
2841	5504	7	6	5
2842	5514	0	0	0
2843	5524	4	3	3
2844	5534	0	0	0
2844	5544	3	2	2
2845	5554	0	0	0
2845	5564	4	3	3
2846	5574	0	0	0
2847	5584	3	3	3
2848	5594	0	0	0
2848	5604	4	4	4
2849	5614	0	0	0
2849	5624	3	3	2
2850	5634	0	0	0
2851	5644	5	4	4
2851	5654	0	0	0
2852	5664	4	3	3
2852	5675	0	0	0
2853	5685	2	2	1
2853	5695	0	0	1
2854	5705	1	0	0
2854	5715	2	2	3
2855	5725	2	2	2
2856	5735	0	1	1
2856	5745	1	0	0
2857	5755	2	2	3
2857	5765	3	3	2
2858	5775	0	0	0
2858	5785	0	0	0
2859	5795	2	2	3
2859	5805	2	2	2
2860	5815	0	0	0
2860	5825	2	1	1
2861	5835	1	1	2
2861	5846	0	0	0
2862	5856	4	4	4
2863	5866	0	0	0
2863	5876	5	5	6
2889	5886	0	0	0
2890	5896	2	2	3
2890	5906	0	0	0
2891	5916	5	4	5
2891	5926	0	0	0
2906	5936	2	2	3
2907	5946	0	0	0
2922	5956	4	4	4
2939	5966	0	0	0
2939	5976	1	2	2
2956	5986	0	0	0
2973	5996	4	4	5
2974	6006	0	0	0
2989	6016	1	2	2
2990	6026	0	0	0
3006	6036	5	5	5
3027	6046	0	0	0
3028	6056	5	6	6
3029	6066	0	0	0
3044	6076	4	4	5
3060	6086	0	0	0
3061	6096	5	6	7
3076	6106	1	1	0
3077	6116	3	4	5
3093	6126	0	0	0
3110	6136	4	5	6
3110	6146	1	1	0
3126	6156	1	1	1
3127	6166	0	0	0
3143	6176	4	4	4
3159	6187	0	0	0
3160	6197	7	8	8
3176	6207	0	0	0
3193	6217	10	12	13
3195	6227	0	0	0
3210	6237	8	9	10
3210	6247	0	0	0
3226	6257	10	11	12
3243	6267	0	0	0
3244	6277	5	5	6
3260	6287	0	0	0
3261	6297	10	10	12
3277	6307	0	0	0
3293	6317	7	7	8
3294	6327	0	0	0
3309	6337	10	11	12
3311	6347	0	0	0
3326	6358	14	14	15
3345	6368	0	0	0
3346	6378	13	13	13
3362	6388	0	0	0
3363	6398	14	15	14
3378	6408	0	0	0
3395	6418	13	14	14
3396	6428	0	0	0
3411	6438	15	15	15
3413	6448	0	0	0
3428	6458	14	13	12
3445	6468	0	0	0
3446	6478	13	13	13
3461	6488	0	0	0
3462	6498	14	14	14
3477	6508	0	0	0
3501	6518	14	14	14
3502	6528	0	0	0
3504	6538	13	14	14
3518	6548	0	0	0
3534	6558	14	15	15
3535	6568	0	0	0
3551	6578	14	14	14
3552	6588	0	0	0
3567	6598	14	15	15
3584	6608	0	0	0
3585	6618	12	12	13
3601	6628	0	0	0
3601	6638	13	13	13
3617	6648	0	0	0
3618	6658	14	14	14
3633	6668	0	0	0
3650	6678	14	13	13
3651	6688	0	0	0
3667	6699	14	13	14
3683	6709	0	0	0
3684	6719	13	13	13
3700	6729	0	0	0
3701	6739	14	14	14
3717	6749	0	0	0
3734	6759	14	14	14
3735	6769	0	0	0
3750	6779	14	14	14
3750	6789	0	0	0
3766	6799	14	13	13
3783	6809	0	0	0
3783	6819	13	12	12
3800	6829	0	0	0
3801	6839	14	13	13
3818	6849	0	0	0
3834	6859	14	13	13
3835	6870	0	0	0
3851	6880	13	12	11
3852	6890	0	0	0
3867	6900	13	13	13
3884	6910	0	0	0
3884	6920	12	12	11
3900	6930	0	0	0
3901	6940	13	13	13
3917	6950	0	0	0
3933	6960	13	13	12
3934	6970	0	0	0
3950	6980	14	14	14
3951	6990	0	0	0
3967	7000	13	13	13
3983	7010	0	0	0
3984	7020	12	12	12
4000	7030	0	0	0
4001	7040	13	13	13
4016	7050	0	0	0
4033	7060	13	13	13
4034	7070	0	0	0
4050	7080	13	13	13
4066	7090	0	0	0
4067	7100	11	12	12
4082	7110	0	0	0
4083	7120	11	11	11
4100	7130	0	0	0
4121	7140	14	14	14
4122	7150	0	0	0
4123	7160	13	13	12
4137	7170	0	0	0
4154	7180	13	13	13
4155	7190	0	0	0
4170	7200	12	11	10
4171	7211	0	0	0
4187	7221	11	11	11
4204	7231	0	0	0
4204	7241	10	10	10
4220	7251	0	0	0
4221	7261	12	12	11
4237	7271	0	0	0
4253	7281	10	10	10
4254	7291	0	0	0
4270	7301	13	12	12
4286	7311	0	0	0
4287	7321	11	10	10
4303	7331	0	0	0
4304	7341	11	12	11
4319	7351	0	0	0
4336	7361	12	12	12
4337	7371	0	0	0
4353	7382	11	11	10
4353	7392	0	0	0
4369	7402	11	10	11
4386	7412	0	0	0
4387	7422	9	9	9
4402	7432	0	0	0
4419	7442	9	9	9
4419	7452	0	0	0
4435	7462	10	9	10
4436	7472	0	0	0
4461	7482	11	10	10
4464	7492	0	0	0
4477	7502	9	9	9
4478	7512	0	0	0
4493	7522	10	9	9
4524	7532	0	0	0
4525	7542	10	10	9
4526	7552	0	0	0
4528	7562	10	11	10
4540	7572	0	0	0
4557	7582	10	10	10
4558	7592	0	0	0
4573	7602	10	10	10
4574	7612	0	0	0
4590	7622	9	9	9
4612	7632	0	0	0
4614	7642	10	10	9
4629	7652	0	0	0
4631	7662	9	9	9
4645	7672	0	0	0
4647	7682	11	10	10
4662	7692	0	0	0
4664	7702	9	9	9
4679	7712	0	0	0
4696	7723	10	9	10
4698	7733	0	0	0
4712	7743	9	8	8
4728	7753	0	0	0
4730	7763	8	7	7
4745	7773	0	0	0
4747	7783	10	10	9
4769	7793	0	0	0
4771	7803	8	9	8
4786	7813	0	0	0
4787	7823	8	8	8
4802	7833	0	0	0
4819	7843	7	7	7
4820	7853	0	0	0
4835	7863	10	10	9
4837	7873	0	0	0
4852	7883	8	8	8
4868	7894	0	0	0
4870	7904	7	6	6
4885	7914	0	0	0
4886	7924	5	4	3
4902	7934	0	0	0
4927	7944	7	7	7
4928	7954	0	0	0
4929	7964	6	6	6
4943	7974	0	0	0
4960	7984	8	8	8
4961	7994	0	0	0
4977	8004	8	7	7
4978	8014	0	0	0
4993	8024	9	8	8
5010	8034	0	0	0
5011	8044	8	7	7
5026	8054	0	0	0
5028	8064	7	7	7
5043	8074	0	0	0
5044	8084	6	6	6
5059	8094	0	0	0
5080	8104	6	5	4
5081	8114	0	0	0
5097	8124	7	7	6
5098	8134	0	0	0
5113	8144	5	5	4
5114	8154	0	0	0
5129	8164	9	8	8
5147	8174	0	0	0
5150	8184	6	6	5
5163	8194	0	0	0
5179	8204	8	7	7
5181	8214	0	0	0
5196	8224	6	6	5
5197	8235	0	0	0
5213	8245	5	5	4
5232	8255	0	0	0
