UnityMillis	ArduinoMillis	EDA	IBI	Distance
2793	470	-5	-17	-27
2793	493	-5	-18	-25
2815	508	-5	-19	-24
2843	523	-4	-19	-22
2843	538	-4	-19	-21
2860	553	-4	-19	-19
2915	568	-3	-20	-16
2915	583	-3	-20	-13
2915	599	-2	-20	-11
2915	613	-2	-19	-8
2943	628	-1	-19	-5
2943	643	-1	-19	-1
2960	658	-1	-18	1
2977	673	-1	-17	4
2994	688	0	-17	8
3011	703	0	-16	13
3043	718	0	-16	17
3043	733	0	-15	20
3043	748	0	-14	24
3060	763	-1	-13	26
3076	778	-1	-12	28
3095	793	-2	-10	30
3112	807	-2	-9	31
3128	823	-3	-8	33
3145	838	-3	-7	34
3162	852	-4	-6	36
3195	868	-4	-5	37
3195	883	-5	-3	39
3195	898	-6	-2	40
3227	913	-7	-1	41
3227	928	-8	0	42
3244	943	-9	2	43
3261	958	-10	3	44
3279	972	-11	5	45
3296	988	-12	6	47
3313	1003	-13	8	48
3330	1017	-14	10	49
3347	1033	-15	11	50
3347	1048	-16	13	52
3374	1062	-16	14	54
3395	1078	-17	15	55
3395	1093	-17	15	57
3412	1107	-18	16	58
3429	1123	-18	17	59
3447	1137	-19	19	60
3464	1153	-20	20	61
3480	1168	-21	21	63
3497	1182	-22	22	63
3497	1198	-22	23	64
3514	1213	-23	24	64
3542	1227	-24	24	64
3542	1243	-24	25	64
3563	1258	-25	25	64
3580	1272	-25	25	64
3596	1288	-26	26	63
3615	1302	-26	26	63
3632	1317	-27	27	62
3632	1333	-28	27	62
3648	1347	-29	28	61
3665	1362	-29	29	60
3710	1378	-30	29	59
3710	1392	-31	30	58
3710	1408	-33	31	57
3731	1423	-34	32	55
3748	1437	-35	32	54
3764	1453	-37	33	52
3764	1467	-39	34	51
3781	1482	-40	34	49
3799	1498	-41	35	48
3816	1512	-42	35	47
3848	1527	-43	35	45
3848	1543	-45	35	44
3883	1557	-46	35	43
3883	1572	-47	35	42
3900	1588	-48	35	41
3900	1602	-49	35	40
3931	1617	-50	35	40
3948	1632	-51	35	39
3948	1647	-51	35	39
3979	1662	-51	35	39
3979	1677	-52	35	38
4031	1692	-53	35	38
4031	1708	-54	35	38
4031	1722	-54	36	37
4048	1737	-55	36	37
4064	1753	-56	36	36
4083	1767	-57	36	35
4083	1782	-58	36	33
4100	1797	-59	35	32
4116	1812	-59	35	31
4133	1827	-59	34	30
4163	1842	-59	32	29
4163	1857	-60	31	29
4183	1872	-60	30	28
4199	1887	-60	29	28
4216	1902	-61	28	27
4216	1917	-61	27	26
4233	1932	-62	26	25
4250	1947	-62	25	24
4267	1961	-63	25	23
4284	1977	-63	24	22
4315	1992	-64	23	22
4315	2007	-64	23	21
4335	2022	-65	22	20
4352	2037	-65	22	20
4352	2052	-66	21	19
4384	2067	-66	21	18
4384	2082	-66	21	18
4400	2097	-67	21	18
4436	2112	-67	21	19
4436	2126	-67	22	19
4483	2142	-67	22	20
4483	2157	-67	23	20
4483	2171	-67	23	21
4500	2187	-66	24	23
4524	2202	-64	25	26
4524	2216	-63	26	28
4551	2232	-61	27	31
4551	2246	-58	29	34
4571	2262	-56	29	37
4599	2277	-53	30	40
4599	2291	-51	31	43
4631	2307	-48	31	45
4631	2322	-45	31	48
4651	2336	-43	32	50
4667	2352	-42	32	52
4667	2367	-40	32	53
4684	2381	-39	33	54
4701	2397	-38	33	55
4719	2412	-36	32	55
4736	2426	-35	32	56
4752	2442	-34	32	56
4783	2456	-34	32	57
4783	2471	-32	32	57
4803	2487	-31	32	57
4803	2501	-30	31	57
4820	2516	-28	31	57
4837	2532	-27	30	57
4853	2546	-25	29	57
4870	2562	-24	28	56
4887	2577	-23	28	55
4904	2591	-22	27	54
4939	2607	-21	26	54
4939	2621	-20	25	53
4939	2636	-19	23	53
4955	2652	-18	22	53
4972	2666	-17	21	51
5003	2681	-17	20	50
5003	2697	-16	18	47
5020	2711	-16	17	45
5051	2726	-15	15	43
5051	2741	-14	13	43
5091	2756	-14	10	42
5091	2771	-13	8	41
5091	2786	-13	6	39
5135	2801	-12	4	37
5135	2817	-12	1	35
5135	2831	-12	-1	33
5155	2846	-12	-3	32
5171	2862	-12	-5	31
5188	2876	-12	-7	30
5205	2891	-11	-8	29
5221	2906	-11	-10	27
5239	2921	-11	-11	26
5239	2936	-11	-12	25
5256	2951	-12	-13	23
5287	2966	-12	-14	22
5287	2981	-13	-15	20
5308	2996	-13	-16	17
5339	3011	-14	-18	15
5339	3026	-14	-19	13
5356	3041	-15	-20	11
5373	3056	-15	-21	9
5373	3070	-16	-22	7
5389	3086	-17	-23	4
5407	3101	-18	-24	1
5440	3116	-19	-24	-1
5440	3131	-20	-25	-4
5470	3146	-21	-26	-7
5470	3161	-22	-27	-10
5491	3176	-22	-29	-12
5523	3191	-23	-30	-14
5523	3206	-24	-31	-17
5523	3221	-25	-32	-19
5540	3235	-26	-33	-21
5557	3251	-27	-34	-23
5573	3266	-27	-35	-25
5603	3280	-28	-35	-26
5603	3296	-29	-36	-28
5623	3311	-30	-37	-30
5639	3325	-31	-38	-31
5656	3341	-32	-39	-32
5675	3356	-33	-40	-33
5675	3371	-34	-40	-33
5692	3386	-35	-41	-34
5708	3400	-36	-41	-35
5725	3416	-37	-42	-36
5755	3431	-37	-42	-37
5755	3445	-38	-43	-37
5775	3461	-39	-44	-38
5792	3476	-40	-44	-38
5792	3490	-41	-44	-39
5808	3506	-41	-44	-40
5825	3521	-42	-44	-40
5842	3535	-42	-44	-41
5859	3551	-42	-44	-42
5891	3565	-42	-44	-42
5891	3580	-43	-44	-43
5923	3596	-43	-44	-43
5923	3610	-43	-44	-44
5943	3625	-43	-43	-45
5943	3641	-42	-43	-46
5960	3655	-42	-42	-47
5976	3671	-41	-41	-47
5993	3686	-40	-40	-48
6009	3700	-40	-40	-49
6027	3716	-39	-39	-50
6044	3730	-38	-38	-51
6075	3745	-37	-37	-51
6075	3761	-36	-36	-52
6092	3775	-35	-35	-53
6092	3790	-34	-34	-53
6108	3806	-33	-33	-53
6143	3820	-31	-32	-54
6143	3835	-30	-32	-54
6179	3851	-29	-31	-54
6179	3865	-28	-30	-54
6212	3880	-27	-29	-54
6212	3895	-26	-28	-54
6259	3910	-24	-27	-54
6259	3926	-23	-26	-54
6259	3940	-22	-26	-54
6259	3955	-21	-25	-55
6276	3971	-19	-23	-55
6292	3985	-18	-22	-56
6311	4000	-16	-21	-56
6328	4016	-15	-21	-56
6344	4030	-14	-20	-56
6361	4045	-13	-19	-56
6361	4060	-11	-17	-57
6377	4075	-9	-16	-59
6411	4090	-8	-14	-60
6411	4105	-6	-13	-62
6428	4120	-5	-11	-64
6444	4135	-3	-10	-65
6461	4150	-2	-8	-67
6478	4165	-1	-7	-69
6495	4180	0	-5	-71
6512	4195	0	-4	-74
6528	4210	1	-2	-77
6528	4225	2	0	-78
6559	4240	3	0	-79
6559	4255	3	0	-79
6579	4270	3	0	-80
6596	4285	3	0	-81
6612	4300	4	2	-82
