UnityMillis	ArduinoMillis	EDA	IBI	Distance
2130	10	237	236	235
2131	20	127	126	125
2131	30	68	67	67
2146	40	26	26	25
2146	50	20	20	20
2163	60	8	8	8
2163	70	13	12	13
2181	80	4	4	4
2198	90	10	10	10
2198	100	3	3	3
2214	110	10	10	10
2214	120	3	3	3
2231	130	11	11	11
2248	140	3	3	3
2248	150	11	11	12
2266	160	3	3	3
2266	171	11	11	11
2297	181	4	4	4
2297	191	11	11	11
2297	201	3	3	3
2314	211	12	12	12
2314	221	3	3	3
2331	231	12	11	11
2350	241	3	3	3
2350	251	11	11	11
2366	261	3	3	3
2366	271	11	11	11
2383	281	3	4	3
2400	291	11	11	11
2400	301	4	4	3
2416	311	11	11	11
2416	321	3	3	3
2433	331	12	12	12
2433	342	4	4	4
2465	352	12	12	12
2465	362	3	4	3
2465	372	11	11	11
2482	382	4	4	4
2499	392	12	12	12
2499	402	3	3	3
2516	412	12	12	12
2516	422	4	4	4
2532	432	12	12	12
2549	442	3	3	3
2549	452	11	11	10
2566	462	3	3	3
2566	472	11	11	11
2585	482	4	3	4
2585	492	11	12	11
2618	502	4	3	4
2618	512	11	11	11
2618	522	3	3	3
2650	532	12	12	12
2650	542	3	3	3
2650	552	11	11	11
2666	562	3	3	3
2666	572	11	11	11
2683	582	4	4	4
2700	592	11	11	11
2700	602	3	3	3
2716	612	11	11	11
2716	622	4	3	4
2734	632	11	11	11
2750	642	3	3	3
2750	652	11	11	11
2781	662	3	3	3
2781	672	11	11	11
2781	683	3	3	3
2802	693	10	10	10
2802	703	3	3	3
2818	713	9	9	9
2818	723	3	3	3
2835	733	11	11	11
2835	743	3	3	2
2851	753	10	10	9
2868	763	3	3	3
2868	773	11	10	10
2890	783	4	3	4
2890	793	10	10	10
2918	803	4	4	4
2918	813	12	11	11
2918	823	4	4	4
2949	833	10	10	10
2949	843	4	4	4
2949	854	9	9	9
2966	864	3	3	3
2966	874	8	7	7
2986	884	3	3	3
2986	894	7	6	6
3002	904	3	3	3
3019	914	8	8	7
3019	924	3	3	3
3036	934	7	7	6
3036	944	3	3	3
3052	954	9	8	8
3074	964	0	0	0
3074	974	9	9	8
3102	984	0	0	0
3102	994	12	12	11
3102	1004	1	1	1
3118	1014	9	9	8
3118	1024	0	0	0
3135	1034	13	12	12
3154	1044	1	1	1
3154	1054	10	10	9
3186	1064	1	1	1
3186	1074	11	11	10
3186	1084	0	0	0
3186	1094	8	7	6
3203	1104	0	0	0
3220	1114	11	10	10
3220	1124	0	0	0
3238	1134	10	10	9
3270	1144	2	2	2
3270	1154	9	9	8
3270	1164	2	2	2
3270	1174	6	6	5
3286	1184	2	2	2
3303	1195	6	5	4
3303	1205	4	4	4
3320	1215	5	4	4
3320	1225	4	4	4
3336	1235	3	2	2
3354	1245	3	3	3
3354	1255	4	4	3
3370	1265	4	4	4
3370	1275	2	1	1
3387	1285	3	3	3
3387	1295	4	3	3
3404	1305	3	3	4
3453	1315	2	2	1
3453	1325	2	2	2
