UnityMillis	ArduinoMillis	EDA	IBI	Distance
2780	445	0	2	-9
2795	460	0	1	-9
2812	476	0	1	-9
2828	490	0	1	-9
2846	505	0	1	-9
2846	520	0	1	-9
2863	535	0	1	-9
2880	550	0	1	-9
2897	565	0	1	-9
2926	580	0	1	-8
2926	595	0	1	-8
2946	610	0	1	-8
2963	625	0	1	-8
2980	641	0	1	-8
2980	655	0	1	-8
2996	670	1	1	-8
3018	685	1	1	-8
3047	700	1	1	-8
3047	715	1	1	-8
3078	730	1	1	-8
3078	745	1	1	-8
3095	760	1	1	-7
3114	775	1	1	-7
3114	790	1	0	-7
3131	805	1	0	-7
3148	820	1	0	-7
3165	835	1	0	-7
3181	849	1	0	-7
3199	865	1	0	-7
3230	880	1	0	-7
3231	894	1	0	-7
3247	910	1	0	-7
3264	925	2	0	-7
3281	940	2	0	-7
3281	955	2	0	-7
3298	970	2	0	-7
3315	985	2	0	-7
3332	1000	2	0	-6
3348	1014	2	0	-6
3365	1030	2	0	-6
3394	1045	2	0	-6
3394	1059	2	0	-6
3414	1075	2	0	-6
3431	1090	2	0	-6
3431	1104	2	0	-6
3448	1120	2	0	-6
3467	1135	2	0	-6
3483	1149	2	0	-6
3500	1165	2	0	-6
3517	1179	3	0	-6
3546	1196	3	0	-6
3546	1210	3	0	-6
3566	1224	3	0	-6
3566	1240	3	0	-6
3586	1255	3	0	-6
3614	1269	3	0	-6
3614	1285	3	0	-6
3631	1300	3	0	-5
3654	1314	3	0	-5
3654	1330	3	0	-5
3682	1344	3	0	-5
3714	1359	3	0	-5
3714	1375	3	0	-5
3731	1389	3	0	-5
3731	1404	3	0	-5
3751	1420	4	0	-5
3767	1434	4	0	-5
3784	1449	4	0	-5
3801	1465	4	0	-5
3835	1479	4	0	-5
3835	1495	4	0	-5
3835	1509	4	0	-5
3866	1524	4	0	-5
3883	1540	4	0	-5
3883	1554	4	0	-5
3899	1569	4	0	-5
3918	1585	4	0	-5
3950	1599	4	0	-5
3950	1614	4	0	-5
3967	1630	4	0	-5
3983	1644	4	0	-5
4003	1659	5	0	-5
4003	1674	5	0	-5
4034	1689	5	0	-5
4034	1704	5	0	-5
4051	1719	5	0	-5
4067	1734	5	0	-5
4086	1750	5	0	-4
4103	1764	5	0	-4
4120	1779	5	0	-4
4137	1794	5	0	-4
4137	1809	5	0	-4
4153	1824	5	0	-4
4170	1839	5	0	-4
4198	1854	5	0	-4
4198	1869	5	0	-4
4218	1884	5	0	-4
4235	1899	5	0	-4
4252	1914	6	0	-4
4270	1929	6	0	-4
4270	1944	6	0	-4
4287	1958	6	0	-4
4304	1974	6	-1	-4
4320	1989	6	-1	-4
4366	2003	6	-1	-4
4366	2019	6	-1	-4
4366	2034	6	-1	-4
4386	2049	6	-1	-4
4403	2064	6	-1	-4
4403	2079	6	-1	-4
4420	2094	6	-1	-4
4438	2109	6	-1	-4
4455	2123	6	-1	-4
4472	2139	6	-1	-4
4502	2154	7	-1	-4
4502	2168	7	-1	-4
4523	2184	7	-1	-4
4555	2199	7	-1	-4
4555	2213	7	-1	-4
4555	2229	7	-1	-4
4572	2244	7	-1	-4
4588	2258	7	-1	-4
4605	2274	7	-1	-4
4622	2289	7	-1	-4
4650	2304	7	-1	-4
4650	2319	7	-1	-4
4670	2333	7	-1	-4
4687	2349	7	-1	-4
4703	2364	7	-1	-4
4722	2378	7	-1	-4
4722	2394	8	-1	-4
4739	2409	8	-1	-4
4756	2423	8	-1	-4
4773	2439	8	-1	-4
4791	2453	8	-1	-4
4818	2468	8	-1	-4
4818	2484	8	-1	-4
4838	2498	8	-1	-4
4855	2513	8	-1	-4
4855	2529	8	-1	-4
4871	2543	8	-1	-4
4890	2558	8	-1	-4
4907	2574	8	-1	-4
4924	2588	8	-1	-4
4941	2604	8	-1	-4
4975	2619	8	-1	-3
4975	2633	9	-1	-3
5043	2649	9	-1	-3
5043	2663	9	-1	-3
5043	2678	9	-1	-3
5043	2694	9	-1	-3
5043	2708	9	-1	-3
5075	2723	9	-1	-3
5075	2739	9	-1	-3
5091	2753	9	-1	-3
5108	2768	9	-1	-3
5124	2783	9	-1	-3
5124	2798	9	-1	-3
5142	2813	9	-1	-3
5190	2828	9	-1	-3
5190	2843	9	-1	-3
5190	2859	9	-1	-3
5207	2873	10	-1	-3
5223	2888	10	-1	-3
5258	2904	10	-1	-3
5258	2918	10	-1	-3
5275	2933	10	-1	-3
5275	2948	10	-1	-3
5292	2963	10	-1	-3
5308	2978	10	-1	-3
5338	2993	10	-1	-3
5338	3008	10	-1	-3
5358	3023	10	-1	-3
5375	3038	10	-1	-3
5392	3053	10	-1	-3
5408	3068	10	-1	-3
5425	3083	10	-1	-3
5442	3098	10	-1	-3
5442	3112	11	-1	-3
5459	3128	11	-1	-3
5490	3143	11	-1	-3
5490	3158	11	-1	-3
5510	3173	11	-1	-3
5527	3188	11	-1	-3
5544	3203	11	-1	-3
5561	3218	11	-1	-3
5577	3233	11	-1	-3
5577	3248	11	-1	-3
5594	3263	11	-1	-3
5611	3277	11	-1	-3
5642	3293	11	-1	-3
5643	3308	11	-1	-3
