UnityMillis	ArduinoMillis	EDA	IBI	Distance
2580	456	-28	-17	57
2623	471	9	1	-80
2623	486	-19	0	-76
2623	501	-19	1	-76
2639	516	0	11	78
2656	531	-18	-26	-58
2675	546	66	78	-6
2675	561	86	78	-7
2692	576	85	79	-7
2709	590	85	80	-7
2725	606	85	80	-7
2742	621	84	80	-7
2775	635	84	81	-7
2775	651	83	81	-7
2792	666	83	81	-7
2809	680	82	82	-7
2825	696	82	82	-7
2843	711	81	81	-8
2843	726	81	81	-8
2860	741	80	81	-8
2876	756	80	81	-8
2893	771	79	80	-8
2927	786	79	80	-8
2927	800	78	79	-8
2944	816	78	79	-8
2961	831	77	78	-8
2977	845	77	77	-8
2977	861	76	77	-8
2994	876	76	76	-8
3011	890	76	75	-8
3027	906	75	74	-8
3044	920	75	74	-8
3075	935	74	73	-8
3075	951	74	72	-8
3091	965	73	71	-8
3108	980	73	71	-8
3127	996	72	70	-8
3127	1010	72	69	-8
3144	1026	72	68	-8
3161	1041	71	67	-8
3177	1055	71	67	-8
3194	1071	70	66	-8
3212	1085	70	65	-8
3243	1100	69	64	-8
3243	1116	69	63	-8
3259	1130	69	63	-8
3276	1145	68	62	-8
3276	1161	68	61	-8
3295	1175	68	60	-8
3312	1190	67	60	-8
3329	1206	67	59	-8
3345	1220	66	58	-8
3362	1235	66	57	-8
3378	1250	66	57	-8
3411	1265	65	56	-8
3411	1281	65	55	-8
3411	1295	65	54	-8
3428	1310	65	54	-8
3444	1326	64	53	-8
3461	1340	64	52	-8
3479	1355	64	52	-8
3496	1371	63	51	-8
3512	1385	63	50	-8
3529	1400	63	50	-8
3563	1415	63	49	-8
3563	1430	62	48	-8
3563	1445	62	48	-8
3580	1460	62	47	-8
3599	1475	62	46	-8
3631	1490	61	46	-8
3631	1505	61	45	-8
3648	1520	61	44	-8
3665	1536	61	44	-8
3681	1550	60	43	-8
3681	1565	60	42	-8
3711	1580	60	42	-8
3711	1595	60	41	-8
3731	1610	60	41	-8
3748	1625	59	40	-8
3764	1640	59	39	-8
3799	1655	59	39	-7
3799	1670	59	38	-7
3816	1685	59	38	-7
3816	1700	59	37	-7
3832	1715	58	37	-7
3863	1730	58	36	-7
3863	1744	58	36	-7
3880	1760	58	35	-7
3896	1775	58	35	-7
3913	1789	58	34	-7
3931	1805	58	34	-7
3955	1820	58	33	-7
3955	1835	57	33	-7
3979	1850	57	32	-7
3995	1865	57	32	-7
3995	1880	57	31	-7
4031	1895	57	31	-7
4031	1909	57	30	-7
4047	1925	57	30	-7
4064	1940	57	29	-7
4080	1954	57	29	-7
4099	1970	57	28	-7
4116	1985	56	28	-7
4132	1999	56	27	-6
4132	2015	56	27	-6
4149	2030	56	27	-6
4183	2044	56	26	-6
4183	2060	56	26	-6
4199	2074	56	25	-6
4216	2089	56	25	-6
4233	2105	56	25	-6
4249	2119	56	24	-6
4271	2135	56	24	-6
4271	2150	56	23	-6
4299	2164	56	23	-6
4299	2180	56	23	-6
4331	2195	56	22	-6
4331	2209	56	22	-6
4347	2225	56	22	-6
4367	2239	56	21	-6
4384	2254	56	21	-6
4400	2270	56	21	-6
4400	2284	56	20	-6
4417	2299	56	20	-6
4434	2315	55	20	-6
4451	2329	55	19	-6
4483	2344	55	19	-6
4483	2360	55	19	-6
4500	2374	55	18	-6
4516	2390	55	18	-6
4535	2404	55	18	-6
4535	2419	55	17	-6
4552	2435	55	17	-6
4568	2449	55	17	-5
4585	2464	55	17	-5
4602	2480	55	16	-5
4618	2494	55	16	-5
4651	2509	55	16	-5
4651	2525	55	16	-5
4667	2539	55	15	-5
4684	2554	55	15	-5
4701	2569	55	15	-5
4701	2584	55	14	-5
4719	2599	55	14	-5
4736	2614	55	14	-5
4753	2629	55	14	-5
4769	2644	55	14	-5
4799	2659	56	13	-5
4799	2674	56	13	-5
4819	2690	56	13	-5
4836	2704	56	13	-5
4836	2719	56	12	-5
4853	2734	56	12	-5
4869	2749	56	12	-5
4886	2764	56	12	-5
4903	2780	56	12	-5
4920	2794	56	11	-5
4951	2809	56	11	-5
4951	2824	56	11	-5
4967	2839	56	11	-5
4987	2854	56	11	-5
4987	2869	56	10	-5
5004	2884	56	10	-5
5020	2898	56	10	-5
5037	2914	56	10	-5
5054	2929	56	10	-5
5071	2944	56	9	-5
5103	2959	56	9	-5
5103	2974	56	9	-5
5119	2989	56	9	-5
5136	3004	56	9	-5
5136	3019	56	9	-5
5154	3034	56	8	-5
5171	3049	56	8	-5
5188	3063	56	8	-5
5211	3079	56	8	-5
5211	3094	56	8	-5
5235	3108	56	8	-5
5270	3124	56	7	-5
5271	3139	56	7	-5
5287	3153	57	7	-5
5287	3169	57	7	-5
5304	3184	57	7	-5
5320	3198	57	7	-5
5337	3214	57	7	-5
5355	3228	57	7	-5
5372	3244	57	6	-5
5388	3259	57	6	-5
5418	3273	57	6	-5
5418	3289	57	6	-5
5439	3304	57	6	-5
5439	3318	57	6	-5
5455	3334	57	6	-5
5472	3348	57	6	-5
5489	3363	57	5	-5
5505	3379	57	5	-5
5522	3393	57	5	-5
5539	3408	57	5	-5
5571	3424	57	5	-4
5571	3438	57	5	-4
5571	3453	57	5	-4
5587	3469	57	5	-4
5604	3483	58	5	-4
5623	3499	58	4	-4
5640	3513	58	4	-4
5657	3528	58	4	-4
5673	3544	58	4	-4
5690	3558	58	4	-4
5690	3573	58	4	-4
5711	3589	58	4	-4
5739	3603	58	4	-4
5739	3618	58	4	-4
5755	3634	58	4	-4
5772	3648	58	3	-4
5791	3663	58	3	-4
5808	3678	58	3	-4
5824	3693	58	3	-4
5824	3708	58	3	-4
5841	3723	58	3	-4
5857	3738	58	3	-4
5874	3753	58	3	-4
5915	3768	59	3	-4
5915	3783	59	3	-4
5915	3799	59	3	-4
5943	3813	59	3	-4
5943	3828	59	2	-4
5961	3843	59	2	-4
5991	3858	59	2	-4
5991	3873	59	2	-4
6007	3888	59	2	-4
6024	3903	59	2	-4
6059	3918	59	2	-4
6059	3933	59	2	-4
6076	3948	59	2	-4
6092	3963	59	2	-4
6109	3979	59	2	-4
6125	3993	59	2	-4
6125	4007	59	2	-4
6142	4023	60	2	-4
6159	4038	60	2	-4
6176	4052	60	2	-4
6207	4068	60	1	-4
6207	4083	60	1	-4
6223	4098	60	1	-4
6243	4113	60	1	-4
6259	4128	60	1	-4
6259	4143	60	1	-4
6276	4158	60	1	-4
6293	4172	60	1	-4
6309	4188	60	1	-4
6327	4203	60	1	-4
6359	4217	60	1	-4
6359	4233	60	1	-4
6376	4248	60	1	-4
6392	4262	60	1	-4
6411	4278	60	1	-4
6411	4293	61	1	-4
6428	4307	61	1	-4
6444	4323	61	1	-4
6461	4337	61	1	-4
6478	4353	61	0	-4
6495	4368	61	0	-4
6527	4382	61	0	-4
6527	4398	61	0	-4
6543	4413	61	0	-4
6560	4427	61	0	-4
6577	4443	61	0	-4
6577	4458	61	0	-4
6595	4472	61	0	-4
6611	4488	61	0	-4
6628	4502	61	0	-4
6645	4517	61	0	-4
6661	4533	62	0	-4
6695	4547	62	0	-4
6695	4562	62	0	-4
6711	4578	62	0	-4
6711	4592	62	0	-4
6728	4608	62	0	-4
6745	4623	62	0	-4
6763	4637	62	0	-4
6779	4653	62	0	-4
6796	4667	62	0	-4
6823	4682	62	0	-4
6823	4698	62	0	-4
6863	4712	62	0	-4
6863	4727	62	0	-4
6863	4743	62	0	-4
6879	4757	62	0	-4
6896	4772	63	0	-4
6913	4788	63	0	-4
6931	4802	63	0	-4
6948	4817	63	0	-4
6964	4832	63	0	-4
6981	4847	63	0	-4
6981	4862	63	0	-4
7011	4877	63	0	-4
7027	4892	63	0	-4
7027	4908	63	0	-4
7047	4922	63	0	-4
7064	4937	63	0	-4
7081	4953	63	0	-4
7097	4967	63	0	-4
7114	4982	63	0	-4
7131	4997	63	0	-4
7131	5012	64	0	-4
7163	5027	64	0	-4
7163	5042	64	0	-4
7179	5057	64	0	-4
7199	5072	64	0	-4
7216	5087	64	0	-4
7232	5102	64	0	-4
7249	5117	64	0	-4
7266	5132	64	0	-4
7282	5147	64	0	-4
7282	5161	64	0	-4
7299	5177	64	0	-4
7331	5192	64	0	-4
7331	5207	64	0	-4
7347	5222	64	0	-4
7364	5237	64	0	-4
7381	5252	65	0	-4
7399	5267	65	0	-4
7416	5282	65	0	-4
7416	5297	65	0	-4
7432	5312	65	0	-4
7449	5326	65	0	-4
