UnityMillis	ArduinoMillis	EDA	IBI	Distance
12833	472	53	-71	-8
12833	494	56	61	22
12852	509	36	61	-26
12901	524	38	62	-24
12901	539	70	45	4
12901	555	-27	-17	-58
12901	569	13	7	76
12932	584	45	75	-3
12932	600	50	64	11
12949	614	56	-72	-17
12965	629	62	71	12
12984	645	-14	2	-79
13000	659	39	-70	15
13017	674	-45	-81	0
13048	689	-22	0	-66
13048	704	40	-7	-51
13065	719	-18	11	70
13084	734	37	70	-18
13084	749	28	-53	35
13101	764	-33	55	29
13118	779	17	-36	50
13134	794	-42	-20	-49
13150	809	-63	1	18
13168	824	-39	-7	-60
13200	839	42	-74	10
13200	854	-47	85	-1
13217	869	8	-5	-79
13217	884	-28	16	-65
13234	899	-38	47	-1
13250	914	12	-14	71
13267	929	48	-75	1
13284	944	-24	25	55
13300	959	4	-2	84
13317	974	45	-64	24
13333	989	65	-65	24
13364	1004	64	-65	24
13364	1018	65	-65	24
13384	1034	65	-65	24
13384	1049	65	-65	24
13401	1063	65	-65	24
13417	1079	65	-65	24
13434	1094	65	-65	24
13451	1108	65	-65	24
13468	1124	66	-64	24
13485	1139	66	-64	24
13485	1154	66	-64	24
13516	1169	66	-64	24
13533	1183	66	-64	24
13533	1199	66	-64	24
13549	1214	66	-64	24
13568	1228	67	-63	24
13585	1244	67	-63	24
13601	1259	67	-63	24
13618	1273	67	-63	24
13634	1289	67	-63	23
13652	1304	67	-62	23
13652	1318	67	-62	23
13684	1334	67	-62	23
13684	1348	68	-62	23
13701	1363	68	-61	23
13717	1379	68	-61	23
13734	1393	68	-61	23
13752	1409	68	-60	23
13769	1424	68	-60	23
13785	1438	68	-60	23
13803	1454	69	-59	22
13803	1469	69	-59	22
13831	1483	69	-59	22
13832	1499	69	-58	22
13852	1513	69	-58	22
13869	1528	69	-57	22
13885	1544	69	-57	22
13902	1558	69	-57	22
13936	1573	70	-56	21
13936	1589	70	-56	21
13936	1603	70	-55	21
13953	1618	70	-55	21
13969	1633	70	-55	21
14004	1648	70	-54	21
14004	1664	70	-54	21
14021	1678	70	-53	20
14037	1693	70	-53	20
14054	1709	71	-53	20
14071	1723	71	-52	20
14071	1738	71	-52	20
14088	1754	71	-51	20
14108	1768	71	-51	20
14137	1783	71	-50	19
14137	1798	71	-50	19
14168	1813	71	-50	19
14168	1828	71	-49	19
14184	1843	71	-49	19
14204	1858	72	-48	19
14221	1873	72	-48	19
14221	1888	72	-47	18
14237	1903	72	-47	18
14255	1918	72	-47	18
14273	1933	72	-46	18
14289	1948	72	-46	18
14320	1963	72	-45	18
14320	1978	72	-45	17
14337	1993	72	-44	17
14356	2008	72	-44	17
14356	2023	73	-44	17
14373	2038	73	-43	17
14389	2053	73	-43	17
14406	2068	73	-42	16
14423	2083	73	-42	16
14444	2098	73	-42	16
14487	2113	73	-41	16
14487	2127	73	-41	16
14487	2143	73	-40	16
14504	2158	73	-40	16
14504	2172	73	-40	15
14521	2188	73	-39	15
14540	2203	73	-39	15
14557	2217	74	-38	15
14573	2233	74	-38	15
14590	2248	74	-38	15
14607	2263	74	-37	14
14635	2278	74	-37	14
14635	2292	74	-36	14
14656	2308	74	-36	14
14656	2323	74	-36	14
14672	2337	74	-35	14
14689	2353	74	-35	13
14706	2368	74	-35	13
14724	2382	74	-34	13
14741	2398	74	-34	13
14757	2413	74	-33	13
14788	2427	74	-33	13
14788	2443	74	-33	13
14808	2457	74	-32	12
14808	2472	74	-32	12
14825	2488	75	-32	12
14841	2502	75	-31	12
14858	2518	75	-31	12
14875	2533	75	-31	12
14891	2547	75	-30	12
14908	2563	75	-30	11
14940	2578	75	-30	11
14940	2592	75	-29	11
14957	2608	75	-29	11
14957	2622	75	-29	11
14974	2637	75	-28	11
14992	2653	75	-28	11
15009	2667	75	-28	10
15025	2682	75	-27	10
15042	2698	75	-27	10
15059	2712	75	-27	10
15076	2727	75	-27	10
15108	2743	75	-26	10
15108	2757	75	-26	10
15108	2772	75	-26	10
15125	2787	75	-25	9
15141	2802	75	-25	9
15158	2818	75	-25	9
15176	2832	75	-25	9
15192	2847	76	-24	9
15209	2863	76	-24	8
15209	2877	77	-24	8
15226	2892	77	-24	8
15242	2908	77	-24	8
15276	2922	77	-23	8
15276	2937	77	-23	8
15293	2952	77	-23	8
15310	2967	77	-23	7
15327	2982	77	-22	7
15344	2997	77	-22	7
15344	3012	77	-22	7
15361	3027	77	-22	7
15377	3042	77	-21	7
15394	3057	77	-21	7
15436	3073	77	-21	7
15436	3087	77	-21	7
15436	3102	77	-20	7
15460	3117	77	-20	6
15476	3132	77	-20	6
15493	3147	77	-20	6
15512	3162	77	-19	6
15512	3177	77	-19	6
15528	3192	77	-19	6
15545	3207	77	-19	6
15576	3222	77	-18	6
15576	3237	77	-18	6
15593	3252	77	-18	6
15612	3267	77	-18	5
15629	3281	77	-18	5
15645	3297	77	-17	5
15662	3312	77	-17	5
15662	3326	77	-17	5
15679	3342	77	-17	5
15695	3357	77	-17	5
15712	3372	77	-16	5
15744	3387	78	-16	5
15744	3402	78	-16	4
15764	3417	78	-16	4
15781	3432	78	-16	4
15781	3446	79	-16	4
15812	3462	79	-16	4
15812	3477	79	-16	4
15829	3491	80	-16	4
15846	3507	80	-16	4
15862	3522	80	-15	3
15880	3536	80	-15	3
15912	3552	80	-15	3
15912	3567	80	-15	3
15929	3581	80	-15	3
15929	3597	80	-14	3
15945	3611	80	-14	3
15964	3627	80	-14	3
15981	3642	80	-14	3
15997	3656	80	-14	3
16014	3672	80	-13	3
16031	3687	80	-13	3
16047	3701	80	-13	3
16080	3717	79	-13	3
16080	3731	79	-13	3
16080	3746	79	-12	3
16097	3762	78	-12	3
16114	3776	78	-12	3
16132	3791	78	-12	3
16149	3807	78	-11	3
16165	3821	77	-11	3
16182	3836	77	-11	3
16199	3852	77	-11	3
16228	3866	77	-11	3
16228	3881	77	-11	3
16248	3897	77	-10	2
16248	3911	77	-10	2
16265	3927	77	-10	2
16281	3941	77	-10	2
16298	3956	77	-10	2
16315	3972	77	-10	2
16332	3986	77	-10	2
16349	4001	77	-10	2
16380	4017	77	-9	2
16380	4031	77	-9	2
16380	4046	77	-9	2
16397	4061	77	-9	2
16416	4076	77	-9	2
16433	4091	77	-9	2
16449	4106	77	-9	2
16466	4121	77	-9	2
16483	4136	77	-8	2
16499	4151	77	-8	2
16499	4166	77	-8	2
16516	4182	77	-8	1
16548	4196	77	-8	1
16548	4211	77	-8	1
16565	4226	77	-8	1
16585	4241	77	-8	1
16616	4256	77	-8	1
16616	4271	77	-8	1
16633	4286	77	-7	1
16633	4301	77	-7	1
16650	4316	77	-7	1
16668	4331	77	-7	1
16701	4346	77	-7	1
16701	4361	77	-7	1
16717	4376	77	-7	1
16734	4390	77	-7	1
16751	4406	77	-7	1
16767	4421	77	-7	1
16783	4435	77	-7	1
16800	4451	77	-6	1
16817	4466	77	-6	1
16817	4481	77	-6	1
16833	4496	77	-6	1
16864	4511	77	-6	1
16864	4526	77	-6	1
16884	4541	77	-6	0
16920	4555	77	-6	0
16920	4571	77	-6	0
16920	4586	77	-6	0
16952	4600	77	-6	0
16952	4616	77	-6	0
16969	4631	77	-6	0
16986	4645	77	-5	0
17016	4661	77	-5	0
17016	4676	77	-5	0
17036	4690	77	-5	0
17053	4706	77	-5	0
17069	4720	77	-5	0
17086	4736	77	-5	0
17086	4751	77	-5	0
17103	4765	77	-5	0
17120	4781	77	-5	0
17137	4796	77	-5	0
17168	4810	77	-5	0
17168	4826	77	-5	0
17185	4841	77	-5	0
17203	4855	77	-4	0
17220	4871	77	-4	0
17220	4885	77	-4	0
17237	4900	77	-4	0
17254	4916	77	-4	0
17270	4930	77	-4	0
17287	4945	77	-4	0
17304	4961	77	-4	0
17336	4975	77	-4	0
17336	4990	77	-4	0
17353	5006	77	-4	0
17372	5020	77	-4	0
17372	5036	77	-4	0
17389	5050	77	-4	0
17405	5065	77	-4	0
17424	5081	77	-4	0
17452	5095	77	-4	0
17452	5110	77	-4	0
17473	5126	77	-3	0
17520	5140	77	-3	0
17520	5155	77	-3	0
17520	5171	77	-3	0
17536	5185	77	-3	0
17537	5200	77	-3	0
17553	5215	77	-3	0
17571	5230	77	-3	0
17588	5245	77	-3	0
17605	5260	77	-3	0
17622	5275	77	-3	0
17638	5291	77	-3	0
17672	5305	77	-3	0
17672	5320	77	-3	0
17672	5336	77	-3	0
17689	5350	77	-3	-1
17706	5365	77	-3	-1
17722	5380	77	-3	-1
17739	5395	78	-3	-1
17756	5410	78	-3	-1
17773	5425	78	-3	-1
17789	5440	78	-3	-1
17820	5455	78	-3	-2
17820	5470	78	-3	-2
17840	5485	78	-3	-2
17840	5500	78	-3	-2
17857	5515	78	-3	-2
17873	5530	78	-3	-2
17890	5544	77	-3	-2
17907	5560	77	-4	-2
17923	5575	77	-4	-2
17940	5590	77	-4	-2
17940	5605	77	-4	-2
17972	5620	77	-5	-2
17988	5635	77	-5	-1
17988	5650	77	-5	-1
18005	5665	77	-5	-1
18024	5680	77	-5	0
18041	5695	77	-6	0
18057	5709	77	-6	-1
18074	5725	77	-6	-1
18090	5740	77	-7	-1
18108	5754	77	-8	-1
18108	5770	77	-9	-1
18140	5785	77	-10	-1
18140	5799	77	-11	-2
18157	5815	77	-12	-2
18173	5830	77	-14	-2
18190	5844	77	-15	-2
18208	5860	77	-16	-2
18225	5874	77	-18	-2
18241	5890	77	-20	-1
18258	5905	77	-21	-1
18258	5919	77	-23	-1
18275	5935	77	-24	0
18312	5950	77	-25	0
18312	5964	77	-27	0
18340	5980	77	-28	0
18340	5995	76	-29	1
18357	6009	76	-30	2
18376	6025	76	-31	3
18376	6039	75	-32	4
18393	6054	75	-33	4
18409	6070	75	-34	4
18426	6084	75	-35	5
18471	6099	75	-37	5
18471	6115	75	-38	5
18471	6129	74	-39	6
18492	6145	74	-41	6
18509	6160	74	-42	7
18525	6174	74	-44	7
18525	6190	74	-45	8
18542	6204	73	-47	8
18560	6219	73	-49	8
18577	6235	73	-50	8
18608	6249	73	-52	8
18608	6264	73	-54	8
