UnityMillis	ArduinoMillis	EDA	IBI	Distance
1184	310576	-2	0	-1
1184	310591	-2	0	-1
1184	310605	-2	0	-1
1184	310621	-2	0	-1
1184	310635	-2	0	-1
1184	310650	-2	0	-1
1184	310666	-2	0	-1
1184	310680	-2	0	-1
1184	310695	-2	0	-1
1184	310711	-2	0	-1
1184	310725	-2	0	-1
1184	310740	-2	0	-1
1184	310756	-2	0	-1
1184	310770	-2	0	-1
1184	310786	-2	0	-1
1184	310800	-2	0	-1
1184	310815	-2	0	-1
1209	310831	-2	0	-1
1209	310845	-2	0	-1
1222	310860	-2	0	-1
1236	310876	-2	0	-1
1250	310890	-2	0	-1
1263	310905	-2	0	-1
1277	310921	-2	0	-1
1305	310935	-2	0	-1
1318	310950	-2	0	-1
1333	310965	-2	0	-1
1357	310980	-2	0	-1
1357	310995	-2	0	-1
1370	311010	-2	0	-1
1384	311025	-2	0	-1
1398	311041	-2	0	-1
1411	311055	-2	0	-1
1439	311070	-2	0	-1
1452	311086	-2	0	-1
1466	311100	-2	0	-1
1480	311115	-2	0	-1
1494	311130	-2	0	-1
1508	311145	-2	0	-1
1522	311160	-2	0	-1
1535	311175	-2	0	-1
1549	311190	-2	0	-1
1563	311205	-2	0	-1
1590	311220	-2	0	-1
1604	311235	-2	0	-1
1618	311250	-2	0	-1
1631	311265	-2	0	-1
1645	311280	-2	0	-1
1658	311294	-2	0	-1
1672	311310	-2	0	-1
1686	311325	-2	0	-1
1699	311340	-2	0	-1
1713	311355	-2	0	-1
1727	311370	-2	0	-1
1754	311385	-2	0	-1
1768	311400	-2	0	-1
1782	311415	-2	0	0
1795	311430	-2	0	0
1809	311445	-2	0	0
1823	311459	-2	0	0
1834	311475	-1	0	0
1848	311490	-1	0	0
1861	311504	-1	0	0
1889	311520	-1	0	0
1903	311535	-1	0	0
1916	311549	-1	0	0
1930	311565	-1	0	0
1944	311580	-1	-1	0
1964	311595	-1	-1	0
1978	311610	-1	-2	0
1992	311624	-1	-2	0
2005	311640	-2	-2	0
2019	311655	-2	-3	1
2033	311669	-2	-4	1
2046	311685	-2	-4	1
2060	311700	-3	-5	1
2074	311714	-3	-6	1
2087	311730	-3	-6	1
2121	311745	-4	-7	1
2121	311759	-4	-8	1
2135	311775	-4	-9	2
2149	311789	-5	-10	2
2162	311804	-5	-10	2
2176	311820	-5	-11	2
2203	311834	-6	-12	2
2217	311849	-6	-13	2
2231	311865	-6	-14	3
2244	311879	-6	-14	3
2258	311895	-7	-15	3
2272	311910	-7	-16	3
2285	311924	-7	-17	3
2299	311940	-7	-17	4
2313	311955	-7	-18	4
2340	311969	-8	-19	4
2340	311985	-8	-19	5
2367	311999	-8	-20	6
2381	312014	-8	-20	7
