UnityMillis	ArduinoMillis	EDA	IBI	Distance
2566	456	-44	77	11
2566	471	-56	68	-20
2584	486	-8	0	81
2620	501	-26	0	63
2620	516	39	-10	-49
2620	531	33	-63	22
2637	546	16	19	-68
2653	561	156	19	-68
2670	576	153	19	-67
2687	590	151	19	-67
2704	606	149	19	-67
2720	621	147	19	-66
2737	635	145	19	-66
2768	651	144	19	-65
2768	666	142	19	-65
2784	680	141	19	-64
2784	696	140	19	-64
2801	711	139	19	-63
2820	726	138	19	-63
2837	741	137	18	-62
2853	755	136	18	-61
2870	771	135	18	-61
2887	786	135	18	-60
2887	800	134	18	-60
2904	816	133	18	-59
2936	831	133	18	-58
2936	845	132	18	-58
2952	861	132	18	-57
2969	876	131	18	-57
2988	890	131	17	-56
3004	906	131	17	-55
3021	920	130	17	-55
3038	935	130	17	-54
3054	951	130	17	-54
3071	965	129	17	-53
3071	980	129	17	-52
3104	996	129	17	-52
3104	1010	129	16	-51
3121	1026	128	16	-51
3137	1041	128	16	-50
3156	1055	128	16	-49
3172	1071	128	16	-49
3189	1085	128	16	-48
3206	1101	127	16	-48
3206	1116	127	15	-47
3222	1130	127	15	-47
3256	1145	127	15	-46
3256	1161	127	15	-45
3273	1175	127	15	-45
3290	1190	127	15	-44
3306	1206	127	15	-44
3323	1220	126	14	-43
3340	1235	126	14	-43
3340	1250	126	14	-42
3357	1265	126	14	-42
3373	1281	126	14	-41
3403	1295	126	14	-41
3403	1310	126	13	-40
3420	1326	126	13	-40
3440	1340	126	13	-39
3456	1355	126	13	-39
3473	1371	126	13	-38
3473	1385	126	13	-38
3490	1400	126	13	-37
3506	1415	126	12	-37
3524	1430	126	12	-36
3556	1445	126	12	-36
3556	1460	126	12	-35
3572	1475	126	12	-35
3589	1490	126	12	-34
3606	1505	126	11	-34
3624	1520	126	11	-34
3641	1536	125	11	-33
3641	1550	125	11	-33
3657	1565	125	11	-32
3674	1580	125	11	-32
3692	1595	125	11	-32
3740	1610	125	10	-31
3740	1625	125	10	-31
3740	1640	125	10	-30
3756	1655	125	10	-30
3776	1670	125	10	-30
3776	1685	125	10	-29
3793	1700	125	10	-29
3810	1715	125	9	-29
3826	1730	125	9	-28
3843	1744	126	9	-28
3859	1760	126	9	-27
3892	1775	126	9	-27
3892	1789	126	9	-27
3909	1805	126	9	-26
3909	1820	126	9	-26
3925	1835	126	8	-26
3942	1850	126	8	-25
3959	1865	126	8	-25
3975	1880	126	8	-25
3992	1895	126	8	-25
4009	1909	126	8	-24
4044	1925	126	8	-24
4044	1940	126	8	-24
4044	1954	126	7	-23
4060	1970	126	7	-23
4077	1985	126	7	-23
4094	1999	126	7	-23
4110	2015	126	7	-22
4127	2030	126	7	-22
4144	2044	126	7	-22
4161	2060	126	7	-21
4192	2074	126	7	-21
4192	2089	126	6	-21
4208	2105	126	6	-21
4225	2119	126	6	-20
4225	2135	126	6	-20
4244	2150	126	6	-20
4261	2164	126	6	-20
4277	2180	126	6	-20
4294	2195	126	6	-19
4310	2209	126	6	-19
4328	2225	126	5	-19
4359	2239	126	5	-19
4359	2254	127	5	-18
4359	2270	127	5	-18
4376	2284	127	5	-18
4393	2299	127	5	-18
4412	2315	127	5	-18
4428	2329	127	5	-17
4445	2344	127	5	-17
4461	2360	127	5	-17
4478	2374	127	5	-17
4496	2390	127	4	-17
4496	2404	127	4	-16
4528	2419	127	4	-16
4528	2435	127	4	-16
4544	2449	127	4	-16
4561	2464	127	4	-16
4580	2480	127	4	-16
4597	2494	127	4	-15
4613	2509	127	4	-15
4630	2525	127	4	-15
4630	2539	127	4	-15
4646	2554	127	4	-15
4663	2569	128	3	-15
4696	2584	128	3	-14
4696	2599	128	3	-14
4713	2614	128	3	-14
4730	2629	128	3	-14
4746	2644	128	3	-14
4764	2659	128	3	-14
4764	2674	128	3	-14
4781	2690	128	3	-13
4798	2704	128	3	-13
4824	2719	128	3	-13
4825	2734	128	3	-13
4864	2749	128	3	-13
4864	2764	128	3	-13
4880	2779	128	3	-13
4897	2794	128	2	-12
4914	2809	128	2	-12
4930	2824	128	2	-12
4930	2839	128	2	-12
4948	2854	128	2	-12
4965	2869	129	2	-12
4982	2884	129	2	-12
5011	2898	129	2	-12
5011	2914	129	2	-12
5028	2929	129	2	-11
5048	2944	129	2	-11
5065	2959	129	2	-11
5065	2974	129	2	-11
5082	2989	129	2	-11
5098	3004	129	2	-11
5115	3019	129	2	-11
5132	3034	129	2	-11
5163	3049	129	2	-11
5163	3063	129	1	-11
5180	3079	129	1	-10
5200	3094	129	1	-10
5200	3108	129	1	-10
5217	3124	129	1	-10
5234	3139	130	1	-10
5250	3153	130	1	-10
5267	3169	130	1	-10
5284	3184	130	1	-10
5300	3198	130	1	-10
5332	3214	130	1	-10
5332	3228	130	1	-10
5348	3244	130	1	-10
5348	3259	130	1	-9
5365	3273	130	1	-9
5382	3289	130	1	-9
5400	3304	130	1	-9
5417	3318	130	1	-9
5433	3334	130	1	-9
5450	3349	130	1	-9
5467	3363	130	1	-9
5500	3379	130	1	-9
5500	3393	131	1	-9
5516	3408	131	0	-9
5516	3424	131	0	-9
5533	3438	131	0	-9
5549	3453	131	0	-9
5568	3469	131	0	-8
5584	3483	131	0	-8
5601	3499	131	0	-8
5618	3514	131	0	-8
5647	3528	131	0	-8
