UnityMillis	ArduinoMillis	EDA	IBI	Distance
2794	471	30	2	-9
2817	494	30	2	-9
2817	509	30	2	-9
2864	524	30	2	-9
2864	539	30	2	-9
2864	555	30	2	-9
2892	569	30	2	-8
2892	584	30	2	-8
2909	600	30	2	-8
2929	614	30	2	-8
2929	629	30	2	-8
2946	644	30	1	-8
2963	659	30	1	-8
2979	674	30	1	-8
3024	689	30	1	-8
3024	704	30	1	-8
3024	719	30	1	-7
3044	734	30	1	-7
3061	749	30	1	-7
3078	764	30	1	-7
3094	779	30	1	-7
3094	794	30	1	-7
3113	808	30	1	-7
3129	824	30	1	-7
3160	839	30	1	-7
3160	854	30	1	-7
3181	869	30	1	-7
3197	884	30	1	-6
3214	899	30	1	-6
3214	914	30	1	-6
3231	929	30	1	-6
3247	944	30	1	-6
3264	959	30	1	-6
3281	973	30	1	-6
3308	989	30	1	-6
3308	1004	30	1	-6
3328	1018	30	1	-6
3345	1034	30	1	-6
3362	1049	30	1	-6
3380	1063	30	1	-6
3380	1079	30	1	-5
3412	1094	30	1	-5
3412	1108	30	1	-5
3429	1124	30	1	-5
3446	1138	31	1	-5
3501	1154	31	1	-5
3501	1169	31	1	-5
3501	1183	30	1	-5
3501	1199	30	1	-4
3532	1214	29	1	-4
3532	1228	29	1	-4
3564	1244	29	1	-3
3564	1259	29	1	-1
3597	1273	29	1	0
3597	1289	29	1	2
3628	1303	30	1	4
3628	1318	30	1	6
3649	1334	30	1	9
3665	1348	30	1	11
3665	1363	30	1	13
3684	1379	29	1	16
3717	1393	29	1	17
3717	1409	29	1	18
3749	1424	29	1	19
3749	1438	29	1	20
3780	1454	29	0	21
3780	1468	28	0	22
3797	1483	28	1	22
3797	1499	28	1	23
3817	1513	28	1	23
3833	1528	28	1	22
3850	1544	28	1	21
3867	1558	28	1	19
3883	1573	28	1	15
3901	1589	28	1	10
3928	1603	28	1	6
3928	1618	28	1	3
3948	1633	28	1	0
3965	1648	28	1	-1
3965	1664	28	0	-2
3982	1679	28	0	-3
4001	1693	28	0	-3
4018	1709	28	0	-4
4034	1723	28	0	-5
4052	1738	27	0	-7
4080	1754	27	0	-9
4080	1768	27	0	-11
4100	1783	26	0	-13
4100	1798	26	0	-15
4117	1813	26	0	-17
4134	1828	26	0	-19
4152	1843	25	0	-21
4169	1858	25	0	-23
4200	1873	24	0	-25
4200	1888	24	0	-27
4217	1903	24	0	-29
4248	1917	23	0	-31
4248	1933	23	0	-33
4248	1948	23	0	-33
4268	1963	23	0	-34
4285	1978	23	0	-34
4316	1993	23	0	-33
4316	2008	23	0	-32
4341	2023	23	0	-30
4341	2038	24	0	-28
4369	2053	25	0	-24
4400	2068	26	0	-19
4400	2082	26	0	-14
4400	2098	27	0	-10
4417	2113	27	0	-6
4436	2127	28	-1	-2
4453	2143	28	-1	-1
4470	2158	28	-1	0
4486	2172	28	-1	3
4503	2188	28	-1	4
4521	2203	28	-1	5
4521	2217	28	-1	6
4548	2233	28	-1	7
4568	2247	28	-1	9
4568	2263	28	-1	11
4585	2278	28	-1	12
4602	2292	27	-1	14
4637	2308	27	-1	15
4637	2323	27	-1	16
4668	2337	27	-1	16
4668	2353	28	-1	16
4689	2368	28	-1	16
4689	2382	28	-1	14
4732	2398	29	-1	12
4732	2412	29	-1	8
4732	2427	29	-1	3
4752	2443	29	-1	-2
4769	2457	29	-1	-4
4789	2472	29	0	-5
4789	2488	29	0	-6
4805	2502	29	0	-8
4822	2518	28	0	-10
4839	2533	28	0	-12
4855	2547	28	0	-14
4884	2563	27	0	-16
4884	2577	27	0	-17
4904	2592	27	0	-19
4921	2608	26	0	-20
4938	2622	26	0	-21
4955	2637	26	0	-22
4971	2653	25	0	-23
4971	2667	25	0	-23
4989	2682	25	0	-24
5005	2698	25	0	-24
5037	2712	25	0	-25
