UnityMillis	ArduinoMillis	EDA	IBI	Distance
2685	470	0	-2	-10
2706	493	0	-1	-9
2706	508	0	-2	-9
2730	523	0	-2	-9
2730	538	0	-2	-9
2750	553	0	-2	-9
2767	568	0	-2	-9
2783	583	0	-2	-9
2800	599	0	-2	-9
2816	613	0	-3	-9
2833	628	-1	-3	-9
2850	644	-1	-3	-10
2867	658	-1	-3	-10
2867	673	-1	-4	-10
2883	688	-1	-4	-10
2900	703	-1	-4	-10
2917	718	-1	-4	-9
2933	733	-1	-4	-9
2950	748	-1	-4	-9
2967	763	0	-4	-9
2984	778	0	-4	-9
3000	793	0	-5	-8
3000	808	0	-5	-8
3017	823	0	-6	-8
3035	838	0	-6	-7
3051	852	0	-6	-6
3068	868	0	-7	-5
3085	883	0	-7	-5
3102	898	0	-8	-4
3120	913	0	-9	-3
3136	928	0	-9	-2
3136	943	0	-10	-1
3152	958	0	-10	0
3169	973	0	-11	0
3186	988	0	-12	1
3202	1003	0	-12	2
3219	1017	0	-13	4
3236	1033	0	-14	5
3252	1048	0	-15	6
3270	1062	0	-16	8
3270	1078	0	-17	10
3287	1093	0	-18	12
3304	1107	0	-19	14
3321	1123	0	-20	16
3337	1138	1	-21	18
3354	1153	1	-22	19
3370	1168	1	-24	20
3386	1182	1	-25	21
3403	1198	2	-26	22
3420	1213	2	-28	22
3436	1227	2	-29	23
3455	1243	2	-31	23
3455	1258	2	-32	24
3473	1272	3	-33	25
3489	1288	3	-34	26
3505	1303	4	-35	27
3522	1317	4	-37	28
3539	1333	5	-38	29
3555	1347	6	-39	31
3572	1362	6	-39	32
3589	1378	7	-40	33
3589	1392	7	-41	34
3605	1408	8	-41	36
3621	1423	9	-42	37
3638	1437	10	-42	38
3655	1453	11	-42	40
3671	1468	12	-42	41
3687	1482	12	-41	43
3704	1498	13	-41	44
3722	1512	14	-40	45
3722	1527	15	-39	47
3739	1543	16	-39	48
3756	1557	17	-38	50
3772	1572	18	-36	51
3789	1588	20	-35	53
3805	1602	21	-34	54
3822	1617	23	-33	55
3839	1633	24	-32	56
3855	1647	25	-32	57
3855	1662	27	-31	58
3872	1677	28	-30	59
3888	1692	29	-29	60
3905	1708	31	-28	61
3923	1722	33	-27	62
3940	1737	35	-26	62
3956	1753	37	-26	63
3973	1767	39	-25	63
3989	1782	41	-25	63
4006	1798	43	-25	63
4022	1812	45	-24	63
4022	1827	46	-23	63
4039	1842	48	-23	63
4056	1857	50	-22	62
4072	1872	52	-22	62
4089	1887	53	-21	62
4107	1902	55	-21	61
4123	1917	57	-20	60
4140	1932	58	-20	60
4157	1947	60	-20	59
4157	1963	61	-20	57
4175	1977	63	-19	56
4192	1992	64	-19	55
4208	2007	65	-18	54
4225	2022	66	-18	53
4241	2037	67	-18	52
4258	2052	68	-18	52
4275	2067	69	-17	51
4291	2082	70	-17	50
4291	2097	71	-17	50
4307	2112	72	-17	49
4324	2127	73	-17	48
4343	2142	73	-17	48
4360	2157	74	-17	48
4376	2171	75	-17	47
4393	2187	76	-16	46
4409	2202	77	-16	46
4426	2216	78	-15	46
4426	2232	79	-15	46
4443	2247	80	-15	47
4460	2262	81	-15	47
4478	2277	82	-15	48
4495	2292	82	-15	49
4511	2307	82	-15	50
4528	2322	82	-15	51
4545	2336	81	-15	52
4561	2352	79	-14	54
4561	2367	76	-14	56
4578	2381	72	-14	59
4594	2397	67	-14	61
4611	2412	62	-13	64
4627	2426	56	-13	66
4644	2442	50	-12	68
4661	2457	44	-11	70
4677	2471	38	-11	72
4693	2487	31	-11	74
4710	2501	26	-10	75
4727	2516	22	-10	77
4743	2532	18	-10	78
4743	2546	15	-10	79
4759	2562	12	-9	80
4776	2577	9	-9	80
4793	2591	7	-8	81
4811	2607	5	-8	81
4828	2622	3	-7	82
4859	2636	2	-6	82
4859	2652	0	-5	82
4876	2666	0	-4	83
4876	2681	-2	-3	82
4892	2697	-3	-2	81
4911	2711	-5	-1	81
4927	2726	-6	-1	80
4944	2742	-7	0	79
4961	2756	-8	0	78
4977	2771	-9	0	77
4995	2787	-9	1	76
5012	2801	-10	1	75
5012	2817	-11	2	74
5028	2831	-12	3	73
5045	2846	-13	3	72
5061	2862	-13	4	70
5079	2876	-14	4	69
5095	2891	-14	5	68
5112	2907	-14	5	66
5128	2921	-15	6	65
5145	2936	-15	7	63
5162	2952	-15	8	62
5162	2966	-16	9	60
5180	2981	-16	10	59
5196	2996	-16	11	57
5212	3011	-16	12	56
5229	3026	-16	13	55
5245	3041	-16	15	53
5262	3056	-17	16	52
5278	3072	-17	18	50
5295	3086	-17	19	49
5312	3101	-18	21	47
5328	3116	-18	22	46
5328	3131	-19	24	44
5347	3146	-19	26	43
5364	3161	-19	27	42
5380	3176	-19	28	41
5397	3191	-20	30	40
5414	3206	-20	31	39
5430	3221	-20	32	39
5447	3236	-20	33	38
5447	3251	-20	34	38
5463	3266	-20	34	37
5480	3280	-20	35	37
5496	3296	-20	36	36
5515	3311	-20	37	35
5531	3325	-20	38	34
5548	3341	-20	39	33
5565	3356	-19	39	32
5581	3371	-19	40	32
5581	3386	-19	41	30
5598	3401	-18	42	29
5615	3416	-18	43	28
5631	3431	-17	44	27
5647	3445	-16	44	27
5664	3461	-14	45	26
5681	3476	-13	45	25
5697	3490	-12	46	24
5715	3506	-11	46	23
5715	3521	-10	47	22
5732	3535	-8	48	22
5748	3551	-7	48	21
5765	3566	-5	49	20
5783	3580	-3	50	19
5800	3596	-1	51	18
5817	3610	0	52	17
5833	3625	3	53	16
5849	3641	5	54	15
5866	3655	8	54	14
5883	3671	11	55	13
5883	3686	14	56	12
5899	3700	17	57	11
5916	3716	19	58	11
5932	3731	22	59	10
5951	3745	24	60	10
5968	3761	26	61	10
5984	3775	29	61	9
6001	3790	31	62	9
6001	3806	33	63	9
6034	3820	35	63	9
6034	3835	38	64	8
6050	3851	40	65	8
6067	3865	42	65	8
6084	3880	44	66	8
6100	3896	47	66	8
6117	3910	49	67	8
6133	3926	51	67	8
6150	3940	53	68	8
6167	3955	55	68	8
6167	3971	56	69	7
6184	3985	58	69	7
6201	4000	60	70	7
6217	4016	62	70	7
6234	4031	64	71	7
6251	4045	66	71	6
6268	4061	68	72	6
6284	4075	69	72	6
6301	4090	70	72	6
6301	4105	71	73	6
6317	4120	72	73	6
6334	4135	73	73	6
6351	4150	73	73	5
6368	4165	74	73	5
6384	4180	74	73	5
6402	4195	74	74	4
6420	4210	74	74	4
6420	4226	74	74	4
6436	4240	74	74	3
6452	4255	74	74	2
6469	4270	73	73	2
6485	4285	73	73	1
6502	4300	73	73	1
6519	4315	73	73	0
6535	4330	73	73	0
6552	4345	73	73	0
6568	4360	73	73	0
6585	4375	73	73	0
6603	4390	73	73	-1
6620	4405	73	72	-1
6620	4420	73	72	-2
6636	4434	73	72	-2
6653	4450	73	72	-3
6670	4465	72	72	-4
6686	4480	72	72	-5
