UnityMillis	ArduinoMillis	EDA	IBI	Distance
2133	10	242	241	239
2150	20	127	126	124
2150	30	73	72	72
2166	40	28	27	27
2183	50	24	23	23
2183	60	7	7	7
2200	70	13	12	12
2200	80	3	3	3
2216	90	14	13	13
2233	100	3	3	3
2233	110	12	12	12
2250	120	3	3	3
2250	130	12	12	11
2266	140	3	3	3
2266	150	13	12	12
2283	160	3	3	3
2300	171	11	11	11
2300	181	3	3	3
2316	191	10	10	10
2333	201	3	3	3
2333	211	10	10	9
2350	221	3	3	3
2350	231	10	10	10
2367	241	4	4	4
2384	251	9	8	8
2384	261	3	2	3
2400	271	10	10	10
2400	281	3	3	3
2417	291	9	8	8
2434	301	2	2	2
2434	311	10	9	9
2450	321	2	2	2
2450	331	9	9	8
2470	342	3	3	3
2470	352	7	6	7
2498	362	3	3	3
2498	372	6	6	5
2518	382	3	3	3
2518	392	9	8	8
2535	402	3	3	3
2535	412	7	6	6
2554	422	2	3	3
2554	432	7	7	7
2582	442	3	3	3
2582	452	7	7	6
2582	462	3	3	3
2602	472	8	8	7
2602	482	3	3	3
2619	492	7	7	7
2619	502	3	3	3
2636	512	9	8	8
2652	522	3	3	3
2652	532	7	6	6
2669	542	4	4	4
2669	552	5	5	5
2686	562	3	3	3
2702	572	6	6	5
2702	582	3	3	3
2719	592	5	5	5
2719	602	3	3	3
2735	612	7	7	7
2752	622	3	3	3
2752	632	5	4	4
2770	642	3	3	3
2770	652	7	6	6
2790	662	3	4	3
2818	672	5	5	4
2818	683	3	3	4
2818	693	3	2	2
2835	703	4	4	4
2835	713	2	2	2
2851	723	7	6	7
2851	733	3	3	2
2870	743	6	6	6
2870	753	2	2	2
2887	763	6	6	7
2904	773	4	4	3
2904	783	4	4	5
2920	793	3	2	3
2937	803	6	6	6
2937	813	4	3	3
2970	823	4	4	5
2970	833	3	3	3
2970	843	5	5	6
2987	854	2	2	2
2987	864	7	7	7
3004	874	1	1	1
3004	884	8	8	9
3020	894	3	3	3
3020	904	7	7	8
3037	914	3	3	2
3060	924	7	7	8
3060	934	2	2	2
3086	944	7	7	7
3086	954	2	2	2
3086	964	8	8	8
3103	974	2	2	2
3103	984	7	7	8
3120	994	3	3	3
3138	1004	8	9	9
3138	1014	3	3	2
3155	1024	8	8	8
3155	1034	3	3	3
3172	1044	8	9	9
3172	1054	2	2	2
3189	1064	9	10	10
3205	1074	2	1	2
3205	1084	8	9	9
3222	1094	3	3	3
3222	1104	10	10	10
3238	1114	4	4	3
3255	1124	9	9	9
3255	1134	3	3	3
3272	1144	10	10	10
3272	1154	3	3	3
3288	1164	9	9	9
3305	1174	2	2	2
3305	1184	9	9	10
3322	1195	3	3	3
3339	1205	11	11	11
3339	1215	3	3	3
3355	1225	12	12	12
3355	1235	3	2	3
3372	1245	12	12	12
3372	1255	3	3	3
3389	1265	12	11	12
3405	1275	3	3	2
3405	1285	10	11	11
3422	1295	3	3	3
3439	1305	11	12	12
3439	1315	3	3	2
3455	1325	11	10	11
3455	1335	2	2	2
3472	1345	11	11	11
3489	1355	2	2	2
3489	1366	12	12	13
3506	1376	2	2	2
3506	1386	13	13	13
3523	1396	3	3	3
3539	1406	13	13	13
3539	1416	3	3	3
3558	1426	12	13	13
3558	1436	3	3	3
3575	1446	14	14	14
3575	1456	2	3	3
3591	1466	13	13	13
3607	1476	2	3	3
3607	1486	13	13	13
3624	1496	4	3	4
3641	1506	12	12	12
3641	1516	3	3	3
3657	1526	13	13	13
3657	1536	2	3	2
3674	1546	13	13	13
3694	1556	3	3	3
3694	1566	13	13	13
3722	1576	3	3	3
3722	1586	13	13	13
3722	1596	3	2	3
3739	1606	13	13	13
3739	1616	3	3	2
3756	1626	12	13	12
3756	1636	3	2	3
3774	1646	13	13	13
3774	1656	3	3	3
3791	1666	13	13	12
3808	1676	3	3	3
