UnityMillis	ArduinoMillis	EDA	IBI	Distance
2162	10	238	236	235
2178	20	134	133	132
2195	30	66	66	65
2195	40	32	32	32
2212	50	18	18	18
2212	60	9	9	9
2228	70	8	8	8
2245	80	6	6	6
2245	90	6	6	6
2262	100	6	6	6
2262	110	6	6	6
2278	120	6	6	6
2309	130	6	6	6
2309	140	5	5	5
2309	150	6	6	6
2326	160	5	5	6
2326	171	6	5	5
2346	181	7	7	7
2346	191	6	6	5
2363	201	7	7	7
2363	211	5	5	5
2380	221	6	6	7
2396	231	5	5	5
2396	241	6	6	6
2413	251	6	5	5
2413	261	6	6	6
2430	271	5	5	5
2446	281	7	6	6
2446	291	5	4	4
2477	301	6	7	7
2477	311	5	5	5
2477	321	7	6	7
2494	331	6	6	5
2494	342	8	8	8
2511	352	5	5	5
2530	362	8	8	8
2530	372	4	4	4
2546	382	7	7	7
2546	392	5	5	5
2563	402	8	8	8
2563	412	4	4	4
2580	422	8	8	8
2596	432	5	5	5
2596	442	7	7	7
2613	452	5	5	5
2613	462	8	8	8
2646	472	5	5	5
2646	482	7	7	7
2646	492	4	4	4
2663	502	8	8	8
2679	512	5	5	5
2679	522	8	7	8
2696	532	4	4	3
2696	542	7	7	7
2714	552	4	4	3
2714	562	7	7	7
2731	572	4	4	4
2748	582	8	7	7
2748	592	4	4	3
2765	602	9	9	9
2765	612	4	4	4
2798	622	7	7	7
2798	632	3	3	3
2798	642	7	7	7
2814	652	5	4	4
2814	662	7	7	7
2831	672	4	4	4
2848	683	7	7	7
2848	693	4	3	4
2864	703	8	8	8
2881	713	3	3	3
2881	723	8	8	8
2898	733	3	4	3
2898	743	7	7	7
2915	753	3	3	3
2915	763	8	8	8
2931	773	4	4	4
2961	783	7	7	7
2961	793	3	3	3
2961	803	7	7	7
2982	813	3	3	3
2982	823	7	7	8
2998	833	3	3	3
2998	843	7	7	7
3015	854	4	4	3
3032	864	7	7	7
3032	874	3	3	3
3048	884	7	7	7
3048	894	3	2	3
3065	904	8	8	8
3082	914	4	3	4
3082	924	8	8	8
3113	934	3	3	3
3113	944	7	7	7
3113	954	2	2	2
3130	964	7	7	7
3130	974	3	3	3
3147	984	8	8	8
3147	994	3	2	3
3166	1004	8	8	8
3166	1014	3	3	3
3182	1024	8	8	8
