UnityMillis	ArduinoMillis	EDA	IBI	Distance
2806	471	29	2	-9
2828	494	29	2	-9
2828	509	29	2	-9
2857	524	29	2	-9
2857	539	29	2	-9
2874	555	29	2	-9
2891	569	29	2	-9
2907	584	29	2	-8
2925	599	29	2	-8
2962	614	29	2	-8
2962	629	29	2	-8
2962	644	30	2	-8
2993	659	30	2	-8
2993	674	30	2	-8
3025	689	30	1	-8
3025	704	30	1	-8
3041	719	30	1	-8
3058	734	30	1	-8
3088	749	30	1	-7
3088	763	30	1	-7
3120	779	30	1	-7
3121	794	30	1	-7
3141	808	30	1	-7
3141	824	30	1	-7
3157	839	30	1	-7
3174	854	30	1	-7
3193	869	30	1	-7
3210	884	30	1	-7
3226	899	30	1	-7
3243	914	30	1	-6
3273	928	30	1	-6
3273	944	30	1	-6
3293	959	30	1	-6
3293	974	30	1	-6
3310	989	30	1	-6
3326	1004	30	1	-6
3343	1018	30	1	-6
3360	1034	30	1	-6
3377	1048	30	1	-6
3393	1063	30	1	-6
3425	1079	30	1	-6
3425	1093	30	1	-6
3445	1108	30	1	-6
3445	1124	30	1	-5
3462	1138	30	1	-5
3493	1154	30	1	-5
3493	1169	30	1	-5
3510	1183	30	1	-5
3526	1199	30	1	-5
3545	1214	30	1	-5
3577	1228	30	1	-5
3577	1244	30	1	-5
3577	1258	30	1	-5
3594	1273	30	1	-5
3610	1289	30	1	-5
3629	1303	30	1	-5
3645	1318	30	1	-5
3662	1334	30	1	-5
3679	1348	30	1	-4
3697	1363	30	1	-4
3724	1379	30	1	-4
3724	1393	30	1	-4
3745	1409	30	1	-4
3745	1423	30	1	-4
3761	1438	30	1	-4
3778	1454	30	1	-4
3795	1468	30	1	-4
3829	1483	30	1	-4
3829	1499	30	1	-4
3846	1513	30	1	-4
3846	1528	30	1	-4
3862	1543	30	1	-4
3892	1558	30	1	-4
3892	1573	30	1	-4
3913	1588	30	1	-4
3930	1603	30	1	-4
3946	1618	30	1	-4
3963	1633	30	1	-4
3980	1648	30	1	-3
3980	1664	30	0	-3
3997	1678	30	0	-3
4014	1693	30	0	-3
4048	1709	30	0	-3
4048	1723	30	0	-3
4081	1738	30	0	-3
4081	1753	30	0	-3
4098	1768	30	0	-3
4114	1783	30	0	-3
4131	1798	30	0	-3
4148	1813	30	0	-3
4148	1828	30	0	-3
4165	1843	30	0	-3
4192	1858	30	0	-3
4213	1872	30	0	-3
4213	1888	30	0	-3
4229	1903	30	0	-3
4249	1917	30	0	-3
4266	1933	30	0	-3
4282	1948	30	0	-3
4299	1963	30	0	-3
4299	1978	30	0	-3
4333	1993	30	0	-3
4333	2008	30	0	-3
4381	2023	30	0	-3
4381	2037	30	0	-2
4381	2053	30	0	-2
4397	2068	30	0	-2
4414	2082	30	0	-2
4431	2098	30	0	-2
4431	2113	30	0	-2
4449	2127	30	0	-2
4466	2143	30	0	-2
4482	2158	30	0	-2
4499	2172	30	0	-2
4529	2188	30	0	-2
4529	2202	30	0	-2
4549	2217	30	0	-2
4565	2233	30	0	-2
4565	2247	30	0	-2
4582	2263	30	0	-2
4601	2278	30	0	-2
4618	2292	30	0	-2
4634	2308	30	0	-2
4651	2323	30	0	-2
4681	2337	30	0	-2
4681	2353	30	0	-2
4701	2367	30	0	-2
4701	2382	31	0	-2
4717	2398	31	0	-2
4734	2412	31	0	-2
4765	2427	31	0	-2
4765	2443	31	0	-3
4789	2457	31	0	-3
4817	2472	30	0	-3
4817	2488	30	0	-4
4849	2502	30	0	-4
4849	2518	30	0	-5
4869	2532	30	0	-7
4869	2547	30	0	-8
4886	2563	30	0	-9
4917	2577	30	0	-11
4917	2592	30	0	-13
4934	2608	30	0	-16
4950	2622	30	0	-19
4969	2637	29	0	-21
4996	2653	29	0	-24
4996	2667	28	0	-26
5017	2682	28	0	-28
5017	2697	27	0	-30
5033	2712	27	0	-32
5050	2727	27	0	-34
5069	2742	26	0	-36
5086	2757	26	0	-39
5102	2772	26	0	-40
5119	2787	25	0	-41
5137	2802	25	0	-42
5137	2818	25	0	-42
5185	2832	25	0	-43
5185	2847	25	0	-43
5185	2862	25	0	-43
5202	2877	25	0	-44
5218	2892	25	0	-44
5235	2907	25	0	-44
5253	2922	25	0	-44
5270	2937	25	0	-44
5286	2952	25	0	-43
5286	2967	25	0	-43
5303	2982	26	0	-42
5333	2997	26	0	-41
5333	3012	26	0	-39
5352	3026	26	0	-38
5369	3042	27	0	-37
5386	3057	27	0	-35
5403	3072	27	0	-33
