UnityMillis	ArduinoMillis	EDA	IBI	Distance
4245	10	523.25
4274	22	261.63
4276	33	261.63
4278	45	261.63
4291	57	261.63
4307	68	261.63
4308	79	261.63
4323	92	261.63
4340	103	261.63
4341	114	261.63
4357	126	261.63
4373	138	261.63
4389	150	261.63
4390	161	261.63
4407	173	261.63
4424	185	261.63
4425	196	261.63
4440	208	261.63
4457	220	261.63
4458	232	261.63
4473	243	261.63
4490	254	261.63
4491	267	261.63
4506	278	261.63
4523	290	261.63
4540	302	261.63
4540	313	261.63
4556	325	261.63
4573	336	261.63
4574	349	261.63
4589	360	261.63
4606	371	261.63
4623	384	261.63
4624	395	261.63
4639	407	261.63
4656	418	261.63
4657	430	261.63
4672	442	261.63
4689	453	261.63
4705	465	261.63
4706	477	261.63
4722	488	261.63
4739	500	261.63
4739	512	261.63
4755	524	261.63
4772	535	261.63
4788	546	261.63
4789	559	261.63
4805	570	261.63
4805	582	261.63
4821	593	261.63
4838	606	261.63
4855	617	261.63
4856	628	261.63
4871	641	261.63
4887	652	261.63
4889	664	261.63
4904	675	261.63
4920	687	261.63
4937	699	261.63
4938	710	261.63
4953	722	261.63
4970	734	261.63
4971	745	261.63
4987	757	261.63
5003	769	261.63
5020	781	261.63
5021	792	261.63
5037	803	261.63
5053	816	261.63
5054	827	261.63
5070	839	261.63
5086	850	261.63
5103	862	261.63
5104	874	261.63
5119	885	261.63
5136	898	261.63
5137	909	261.63
5152	921	261.63
5169	932	261.63
5170	944	261.63
5186	956	261.63
5202	967	261.63
5204	979	261.63
5219	991	261.63
5235	1002	261.63
5252	1014	261.63
5253	1026	261.63
5269	1038	261.63
5285	1049	261.63
5286	1061	261.63
5302	1073	261.63
5319	1085	261.63
5335	1096	261.63
5336	1107	261.63
5351	1120	261.63
5368	1131	261.63
5369	1143	261.63
5385	1155	261.63
5401	1167	261.63
5418	1178	261.63
5419	1190	261.63
5434	1202	261.63
5451	1214	261.63
5468	1225	261.63
5469	1236	261.63
5484	1249	261.63
5501	1260	261.63
5502	1272	261.63
5518	1284	261.63
5534	1296	261.63
5535	1307	261.63
5551	1319	261.63
5567	1331	261.63
5568	1343	261.63
5584	1354	261.63
5600	1367	261.63
5617	1378	261.63
5618	1389	261.63
5634	1401	261.63
5667	1413	261.63
5668	1425	261.63
5669	1436	261.63
5684	1448	261.63
5700	1460	261.63
5701	1472	261.63
5717	1483	261.63
5733	1496	261.63
5735	1507	261.63
5750	1518	261.63
5766	1530	261.63
5783	1542	261.63
5784	1554	261.63
5800	1565	261.63
5816	1577	261.63
5818	1589	261.63
5833	1601	261.63
