UnityMillis	ArduinoMillis	EDA	IBI	Distance
2656	445	-3	15	42
2656	460	-1	13	41
2682	476	0	11	39
2710	490	2	10	37
2710	505	3	8	35
2742	520	4	6	33
2742	535	5	4	32
2742	550	6	2	30
2759	565	7	0	27
2775	580	7	0	25
2814	595	7	-2	22
2814	610	8	-3	20
2841	625	8	-4	17
2841	641	8	-6	15
2858	655	7	-7	12
2875	670	7	-8	9
2892	685	6	-8	6
2910	700	5	-9	3
2910	715	4	-10	0
2927	730	3	-10	-3
2958	745	2	-10	-5
2958	760	1	-10	-8
2974	775	0	-10	-10
2994	790	0	-10	-12
3010	805	0	-9	-14
3027	820	-1	-8	-16
3044	835	-1	-7	-18
3061	849	-2	-5	-19
3061	865	-2	-3	-19
3078	880	-2	-1	-19
3105	894	-2	1	-19
3105	910	-2	3	-18
3125	925	-2	6	-17
3142	940	-2	9	-16
3162	955	-2	12	-14
3178	970	-2	15	-13
3195	985	-3	17	-11
3195	1000	-3	20	-9
3212	1014	-4	22	-6
3229	1030	-5	24	-4
3245	1045	-6	26	-1
3277	1059	-7	28	0
3277	1075	-8	30	2
3297	1090	-8	32	4
3330	1104	-9	33	6
3330	1120	-11	34	9
3330	1135	-12	35	12
3362	1149	-14	35	14
3362	1165	-15	36	17
3379	1179	-16	36	20
3409	1195	-17	36	22
3409	1210	-18	36	25
3445	1224	-19	35	27
3445	1240	-20	35	30
3477	1255	-21	34	33
3477	1269	-21	33	36
3494	1285	-21	32	38
3514	1300	-21	31	41
3514	1314	-21	29	43
3545	1330	-20	28	44
3545	1344	-19	26	47
3562	1359	-18	24	49
3614	1375	-16	22	51
3614	1389	-14	19	52
3614	1404	-11	16	54
3614	1420	-9	14	54
3631	1434	-6	11	54
3647	1449	-3	8	53
3664	1465	-1	4	52
3681	1479	1	1	50
3698	1495	3	-1	47
3714	1509	4	-5	45
3754	1524	6	-8	42
3754	1540	8	-12	39
3754	1554	9	-15	36
3782	1569	9	-19	33
3782	1585	10	-22	31
3799	1599	10	-24	29
3815	1614	9	-27	26
3832	1630	9	-29	23
3849	1644	8	-31	21
3865	1659	7	-33	19
3882	1674	6	-34	16
3909	1689	4	-36	14
3909	1704	2	-37	12
3929	1719	0	-38	10
3929	1734	-1	-39	7
3946	1750	-4	-39	5
3962	1764	-7	-39	2
3982	1779	-10	-39	0
3998	1794	-12	-39	-3
4015	1809	-15	-39	-5
4032	1824	-18	-38	-8
4050	1839	-21	-38	-11
4050	1855	-23	-38	-14
4082	1869	-25	-37	-16
4082	1884	-27	-36	-19
4098	1899	-28	-35	-22
4115	1914	-29	-34	-25
4131	1929	-29	-32	-27
4149	1944	-28	-30	-30
4166	1959	-27	-28	-33
4183	1974	-26	-26	-35
4213	1989	-24	-23	-35
4213	2003	-22	-19	-35
4261	2019	-20	-16	-35
4261	2034	-18	-12	-33
4261	2049	-16	-9	-32
4261	2064	-14	-5	-30
4281	2079	-13	-1	-28
4298	2094	-12	2	-25
4318	2109	-11	6	-22
4335	2124	-11	10	-18
4335	2139	-11	14	-15
4351	2154	-11	17	-13
4368	2168	-11	21	-11
4398	2184	-11	24	-9
4398	2199	-11	27	-7
4417	2213	-12	30	-5
4434	2229	-13	33	-2
4451	2244	-14	35	0
4468	2258	-15	37	3
4484	2274	-17	39	5
4484	2289	-18	40	7
4501	2304	-19	41	8
4518	2319	-20	43	10
4545	2333	-21	44	12
4545	2349	-22	44	15
4565	2364	-23	44	18
4582	2378	-23	44	22
4602	2394	-24	43	25
4621	2409	-25	42	28
4621	2423	-25	40	31
4654	2439	-25	39	35
4654	2453	-25	37	38
4686	2468	-24	35	41
4686	2484	-24	33	44
4737	2498	-23	31	48
4737	2513	-21	29	50
4737	2529	-20	27	52
4770	2543	-17	25	53
4770	2558	-14	22	53
4770	2574	-11	20	52
4787	2588	-7	17	50
4805	2604	-3	14	47
4834	2619	0	11	42
4834	2633	2	8	37
4859	2649	4	4	31
4897	2663	5	1	24
4897	2678	5	-2	16
4897	2694	4	-5	6
4917	2708	1	-9	-1
4939	2723	0	-11	-7
4939	2739	-1	-14	-11
4970	2753	-2	-16	-14
4970	2768	-4	-18	-18
4986	2783	-5	-20	-21
5003	2798	-7	-22	-24
5020	2813	-8	-23	-26
5049	2828	-8	-23	-27
5049	2843	-8	-24	-27
5069	2859	-8	-25	-26
5069	2873	-7	-26	-24
5086	2888	-5	-27	-21
5103	2904	-4	-28	-18
5122	2918	-3	-29	-16
5138	2933	-1	-30	-14
5157	2949	1	-31	-10
5186	2963	4	-33	-5
5186	2978	7	-34	0
5221	2993	10	-36	3
5221	3008	12	-37	6
5221	3023	12	-37	7
5254	3038	12	-36	9
5254	3053	11	-35	10
5271	3068	11	-32	13
5287	3083	10	-30	16
5306	3098	10	-26	20
5322	3112	9	-22	24
5339	3128	8	-18	29
5339	3143	7	-14	32
5370	3158	5	-10	35
5390	3173	3	-6	36
5390	3188	2	-3	35
5406	3203	1	0	31
5425	3218	0	3	27
5454	3233	0	6	20
5454	3248	1	8	11
5470	3263	3	11	1
5490	3277	6	14	-7
5490	3293	9	16	-13
5517	3308	12	17	-18
5537	3322	14	18	-22
5537	3338	16	18	-24
5554	3353	16	19	-26
5571	3367	17	19	-26
5589	3383	17	19	-26
5606	3398	17	19	-23
5623	3412	16	19	-18
5640	3428	15	19	-13
5640	3442	14	19	-7
5658	3458	13	21	-3
5690	3473	11	23	0
5690	3487	10	26	4
5707	3503	7	29	8
5723	3518	5	31	12
5740	3532	3	33	15
5758	3548	0	35	17
5775	3563	-1	36	19
5775	3577	-3	37	21
5791	3593	-4	36	22
5808	3607	-4	36	24
5824	3622	-3	34	24
5853	3638	-1	31	24
5853	3652	1	28	22
5873	3667	4	24	19
5890	3683	7	20	14
5907	3697	8	14	9
5926	3713	8	9	3
5926	3728	7	3	-1
5942	3742	5	-2	-6
5959	3758	3	-7	-9
5976	3772	1	-12	-11
6014	3787	0	-18	-13
6014	3803	-3	-23	-14
6042	3817	-6	-27	-14
6042	3832	-7	-31	-14
6059	3848	-7	-33	-11
6075	3862	-4	-34	-6
6075	3877	-2	-35	-2
6092	3893	0	-36	1
6110	3907	1	-36	3
6126	3922	2	-36	5
6153	3937	4	-35	7
6153	3952	6	-33	9
6173	3968	8	-31	11
6194	3982	10	-29	14
6211	3997	11	-26	16
6211	4013	11	-23	18
6227	4027	11	-19	20
6244	4042	10	-15	23
6260	4058	9	-11	26
6278	4072	7	-8	28
6305	4087	6	-5	30
6305	4102	5	-2	30
6325	4117	3	0	31
6342	4132	2	3	32
6359	4147	0	7	33
6359	4162	-1	10	34
6378	4177	-4	13	34
6394	4192	-6	16	33
6411	4207	-7	19	33
6428	4222	-8	22	33
6444	4237	-9	24	33
6473	4252	-10	26	33
6473	4267	-10	29	33
6494	4282	-9	30	33
6494	4297	-8	32	32
6510	4312	-5	33	31
6527	4327	-1	35	29
6546	4342	4	35	27
6563	4358	12	35	23
6579	4372	19	35	19
6596	4387	25	35	14
6625	4402	29	34	9
6625	4417	32	32	4
6646	4431	33	30	-2
6646	4447	33	27	-7
6662	4462	31	23	-13
6679	4476	28	19	-17
6696	4492	25	13	-19
6712	4507	21	7	-21
6729	4521	17	1	-22
6746	4537	13	-4	-22
6781	4552	10	-9	-22
6781	4567	8	-14	-20
6781	4582	6	-17	-19
6813	4596	5	-20	-17
6813	4612	5	-23	-14
6845	4627	5	-25	-10
6845	4641	7	-27	-5
6862	4657	8	-28	0
6898	4672	10	-29	5
6898	4686	12	-28	9
6899	4702	13	-26	13
6945	4716	13	-24	18
6945	4731	14	-21	23
6945	4747	13	-18	27
6962	4761	12	-15	31
6979	4776	10	-11	34
6998	4792	8	-8	36
7014	4806	7	-4	36
7031	4822	5	-1	36
7048	4837	3	2	36
7064	4851	3	6	35
7064	4867	2	10	35
7094	4881	1	14	35
7113	4896	1	18	35
7113	4912	0	22	34
7130	4926	0	25	34
7147	4941	0	29	33
7166	4957	1	32	32
7182	4971	2	34	31
7199	4986	3	36	30
7199	5002	4	38	29
7216	5016	6	40	28
7246	5031	8	41	27
7246	5046	11	42	26
7265	5061	14	43	24
7282	5076	18	43	22
7299	5091	22	42	19
7315	5106	25	41	16
7332	5122	28	39	12
7349	5136	30	36	9
7365	5151	31	32	4
7365	5167	31	28	0
7398	5181	30	24	-5
7398	5196	29	19	-10
7414	5211	27	16	-15
7434	5226	26	12	-21
7451	5241	23	8	-26
7467	5256	21	4	-30
7485	5271	19	1	-34
7485	5286	16	-2	-36
7519	5301	14	-5	-38
7519	5316	11	-8	-40
7565	5331	9	-10	-41
7565	5346	7	-13	-41
7565	5361	5	-16	-40
7582	5376	3	-19	-38
7599	5391	2	-22	-36
7616	5406	1	-24	-33
7634	5421	1	-25	-28
7650	5436	1	-27	-24
7650	5451	2	-27	-19
7667	5466	3	-27	-15
7684	5481	4	-26	-12
7717	5496	5	-25	-8
7717	5511	6	-24	-4
7734	5526	7	-21	0
7751	5541	9	-19	6
7767	5556	10	-16	12
7785	5571	11	-12	16
7785	5585	11	-9	20
7817	5601	10	-5	23
7817	5616	9	-2	26
7850	5630	8	1	28
7850	5646	7	4	31
7886	5661	6	8	33
7886	5676	4	11	35
7902	5691	3	14	36
7919	5705	3	17	36
7919	5721	3	20	35
7936	5736	3	23	33
7952	5750	5	25	30
7969	5766	7	27	27
7985	5781	10	29	24
8017	5795	14	31	21
8017	5811	18	32	18
8049	5826	21	33	16
8049	5840	24	35	15
8069	5856	28	36	13
8086	5870	31	37	10
8102	5885	35	38	6
8103	5901	37	38	3
8119	5915	39	39	0
8136	5931	41	39	-4
8154	5946	41	39	-8
8170	5960	41	38	-11
8209	5976	40	37	-15
8209	5991	39	35	-18
8209	6006	37	33	-21
8238	6021	35	31	-23
8238	6035	33	28	-25
8255	6050	31	25	-27
8271	6066	29	22	-29
8288	6080	27	18	-30
8305	6095	25	15	-31
8321	6111	23	11	-32
8341	6125	21	8	-33
8341	6140	20	5	-34
8381	6156	18	1	-34
8381	6170	16	-2	-34
8406	6185	14	-6	-34
8406	6200	13	-10	-33
8422	6215	12	-13	-32
8439	6231	11	-16	-30
8469	6245	11	-17	-28
8469	6260	11	-18	-27
8490	6276	11	-19	-26
8522	6290	11	-20	-25
8522	6305	11	-20	-25
8522	6321	11	-20	-24
8553	6335	10	-20	-24
8553	6350	10	-20	-23
8570	6365	10	-19	-23
8586	6380	10	-19	-22
8603	6395	10	-18	-21
8621	6410	10	-17	-21
8638	6425	11	-16	-20
8655	6440	11	-15	-19
8671	6455	11	-14	-19
8671	6470	11	-13	-18
8690	6486	11	-11	-18
8722	6500	11	-10	-17
8722	6515	11	-10	-16
8739	6530	11	-9	-15
8755	6545	12	-8	-14
8772	6560	12	-7	-13
8789	6575	13	-6	-12
8806	6590	13	-5	-11
8806	6605	13	-5	-9
8823	6620	13	-5	-7
8840	6635	13	-4	-6
8856	6649	13	-5	-4
8890	6665	13	-5	-2
8890	6680	13	-5	0
8906	6694	13	-6	3
8923	6710	13	-6	6
8940	6725	13	-7	10
8940	6739	13	-7	13
8958	6755	13	-7	16
8974	6770	13	-6	19
8991	6785	13	-6	22
9008	6800	13	-5	26
9037	6815	13	-5	30
9037	6830	12	-5	34
9057	6845	12	-4	38
9074	6859	11	-4	42
9074	6875	11	-3	44
9091	6890	11	-3	46
9107	6904	11	-2	46
9126	6920	11	-2	44
9145	6935	11	-2	39
9174	6949	11	-1	32
9174	6965	12	-1	23
9206	6980	11	0	13
9206	6994	11	0	4
9226	7010	10	0	-2
9226	7024	10	0	-7
9242	7040	10	1	-11
9259	7055	10	1	-12
9276	7069	10	2	-12
9292	7085	11	2	-11
9310	7100	11	3	-7
9326	7114	12	3	-3
9357	7130	12	3	1
9357	7144	13	3	6
9374	7159	13	2	12
9391	7175	13	2	18
9391	7189	13	1	25
9410	7204	13	0	31
9426	7220	13	0	34
9443	7234	14	0	32
9461	7249	15	0	25
9478	7265	15	0	16
9505	7279	15	0	7
9505	7294	14	-1	0
9525	7310	14	0	-4
9525	7324	14	0	-5
9542	7340	14	0	-6
9558	7354	14	0	-4
9575	7369	15	0	-1
9594	7385	15	-1	2
9610	7399	16	-1	7
9629	7414	16	-2	13
9657	7430	16	-2	18
9657	7444	16	-3	19
9677	7459	16	-3	19
9678	7474	17	-3	16
9694	7489	17	-3	12
9711	7504	16	-2	8
9727	7519	16	-2	6
9744	7534	16	-2	4
9762	7549	16	-3	3
9778	7564	17	-3	3
9778	7579	17	-3	5
9795	7595	17	-3	7
9826	7609	18	-3	11
9826	7624	18	-3	15
9845	7639	18	-3	17
9862	7654	18	-3	14
9879	7669	18	-3	10
9895	7684	17	-3	6
9912	7699	17	-3	3
9929	7714	17	-3	1
9946	7729	17	-4	1
9946	7744	17	-4	2
9977	7759	17	-4	5
9977	7774	18	-4	10
9994	7789	18	-5	16
10013	7803	19	-5	21
10030	7819	19	-5	23
10049	7834	19	-5	22
10049	7848	19	-5	18
10077	7864	18	-5	13
10094	7879	18	-4	8
10094	7894	18	-4	5
10114	7909	18	-5	4
10141	7924	18	-5	5
10141	7939	19	-5	7
10161	7954	19	-5	11
10178	7968	20	-6	17
10197	7984	20	-7	23
10214	7999	20	-7	27
10231	8013	20	-7	28
10231	8029	20	-7	25
10248	8044	20	-7	20
10264	8058	20	-6	15
10280	8074	20	-6	11
10309	8089	20	-6	9
10309	8103	20	-7	9
10329	8119	20	-7	11
10346	8133	21	-7	16
10382	8148	21	-8	22
10382	8164	21	-8	29
10382	8178	21	-8	35
10398	8194	21	-8	37
10415	8209	21	-8	35
10432	8223	21	-8	30
10461	8239	21	-8	25
10461	8254	21	-8	20
10481	8268	21	-8	17
10498	8284	21	-8	17
10515	8298	21	-8	19
10532	8313	21	-8	22
10532	8329	21	-8	26
10548	8343	21	-8	30
10565	8358	21	-8	34
10582	8374	21	-8	36
10609	8388	21	-8	34
10609	8403	21	-8	30
10629	8419	21	-8	26
10649	8433	21	-8	22
10666	8449	21	-8	20
10683	8463	21	-9	20
10683	8478	21	-9	21
10700	8494	22	-8	24
10716	8508	22	-8	28
10733	8523	22	-9	32
10749	8539	22	-9	37
10777	8553	22	-8	39
10777	8568	22	-8	39
10797	8584	22	-7	37
10817	8598	22	-7	33
10817	8613	22	-7	28
10833	8628	23	-6	22
10850	8643	23	-5	16
10867	8658	23	-4	11
10884	8673	23	-3	6
10900	8688	23	-2	3
10918	8704	23	-1	1
10945	8718	23	0	0
10945	8733	23	0	-2
10965	8749	24	1	-4
10982	8763	25	2	-5
10982	8778	25	3	-6
11001	8793	26	3	-7
11018	8808	26	4	-8
11035	8823	27	4	-10
11052	8838	27	5	-11
11068	8853	27	5	-13
11086	8868	27	6	-16
11086	8883	27	7	-18
11113	8898	27	7	-21
11133	8913	27	7	-24
11133	8928	26	6	-27
11150	8943	25	5	-30
11170	8957	24	4	-34
11186	8973	22	3	-38
11203	8988	21	2	-41
11220	9003	19	1	-44
11220	9018	19	1	-46
11236	9033	18	1	-48
11253	9048	18	1	-49
11281	9063	17	1	-51
11281	9078	17	2	-52
11301	9093	17	2	-52
11318	9108	16	2	-52
11335	9122	16	1	-52
11354	9138	16	1	-52
11370	9153	16	1	-51
11387	9167	17	1	-51
11387	9183	17	2	-49
11404	9198	18	2	-47
11433	9212	19	2	-44
11434	9228	20	2	-41
11454	9242	21	2	-38
11470	9257	22	2	-36
11487	9273	22	3	-34
11504	9287	22	3	-31
11520	9303	23	3	-29
11520	9318	23	3	-27
11538	9332	22	3	-26
11554	9348	22	3	-25
11586	9363	22	3	-24
11586	9377	22	3	-23
11603	9393	21	3	-22
11621	9407	21	3	-21
11638	9422	21	2	-20
11655	9438	21	2	-18
11655	9452	21	2	-17
11672	9467	21	1	-16
11688	9483	20	1	-15
11706	9497	20	1	-14
11733	9512	20	0	-13
11733	9528	20	0	-11
11753	9542	20	0	-9
11770	9558	20	0	-7
11790	9573	19	0	-4
11790	9587	19	0	-1
11822	9603	18	0	1
11822	9617	18	0	3
11839	9632	17	0	5
11855	9648	17	0	7
11872	9662	17	0	10
11901	9677	17	0	13
11901	9693	17	0	18
11921	9707	16	0	22
11938	9722	16	0	27
11955	9737	15	0	31
11972	9752	14	0	35
11972	9767	14	0	37
11990	9782	14	0	39
12006	9797	14	0	41
12023	9812	14	1	42
12053	9827	14	1	44
12053	9842	14	1	45
12073	9858	14	1	45
12090	9872	14	0	45
12107	9887	14	1	45
12107	9902	14	1	44
12123	9917	15	1	43
12140	9932	15	1	42
12157	9947	15	0	40
12174	9962	16	0	38
12201	9977	17	0	34
12201	9992	18	0	30
12221	10007	19	1	25
12241	10022	19	1	19
12242	10037	20	1	13
12258	10052	20	1	8
12275	10066	21	1	3
12292	10082	21	2	-1
12308	10097	21	2	-5
12325	10112	21	2	-9
